,id,message+desc,count_food,count_events,count_nature,count_accommodation,count_attraction,count_others,class_label
22772,211783385560749_630371563701927,"Enjoy end of snow leisure season!

Niseko is located in the Southwestern part of Hokkaido. Snow leisure season in Niseko is from the end of November to the beginning of May. Next month is the last time of the season you can enjoy snow leisure in good condition. In spring through to summer, you can also try outdoor activities such as trekking or rafting.
 
Niseko Town
 
http://www.jnto.go.jp/eng/location/spot/sportexp/niseko.html
http://www.niseko-ta.jp/en/",1.0,0.0,0.0,0.0,0.0,0.0,0.0
22773,144113158937441_1026170784065003,"Bundi-Kota-Jhalawar
A circuit of great historical significance

Bundi and Kota once belonged to a single principality ruled by the Hada Chauhans. Later, two branches of the Hadas formed two separate states on either side of the Chambal-Kota and Bundi. 
Bundi is classic example of a fortress town bounded on all sides by hills. 

It is famous for its intricate paintings and murals. Kota, today, is a modern town throbbing with activity and progressive industrialisation. It boasts of Asia's largest fertilizer plant, precision instrument unit and an atomic power station. 
The Princely State of Jhalawar was created in 1838 AD after being separated from Kota by the British. It got its name derived from Jhalas, the Jhala clan of Rajputs, also the rulers of Jhalawar

 - See more at: http://www.incredibleindia.org/travel/destination/bundi-kota-jhalawar",0.0,0.0,0.0,0.0,0.0,1.0,0.0
22774,340785907491_10153567026767492,"Preparing for your next #VisitKorea trip? Here's a new series of #SeoulSubwayTour featuring Line No. 1! Take a picture with Korea’s #NationalTreasure No.1, get great #shoppingdeals at a underground mall, have #delicious local food at #traditional markets or #food alley, hangout at #cheonggyecheon stream and end your day with a relaxing spa at a Korean #jjimjilbang. How amazing is that in one subway line! Click on the photos to find out more! :D",1.0,0.0,1.0,0.0,0.0,0.0,0.0
22775,240054519398747_589707617766767,"There are certain words in the Filipino language that can't be translated. Why? Because Filipinos have a word for almost everything! Get to know some of them here! Any more words you can add to this list? Share them with us!  

http://www.filipiknow.net/tagalog-words-with-no-english-translation-2/Here are 30 awesome Filipino words that defy exact translation into English.",0.0,0.0,0.0,0.0,0.0,1.0,0.0
22776,67558139928_10154509540574929,"Welcome to the jungle! And the magical island of Borneo. Enjoy the raw beauty of nature and melodic sounds of the forest during an unforgettable journey into the heart of Borneo at Tanjung Puting National Park. Read here to further explore why a trip to Borneo would be an adventure like no other. #WonderfulIndonesiaNo traffic, the sound of rare birds from deep within the rainforest, a little bit of fog over the calm waters and monkeys that are sitting on top of the trees along the river. Welcome to Tanjung Puting and the jungle of Borneo.",0.0,2.0,0.0,0.0,0.0,0.0,0.0
22777,340785907491_151112091606728,"For those of you who are just joining our page, don't forget to also join ""The Buzz"" for a chance to WIN an iPad or a MacBook Air!",0.0,0.0,0.0,0.0,0.0,1.0,0.0
22778,67558139928_10150226068819929,Bungus Beach is a beautiful natural scenery that resembles a crescent shaped,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22779,225524117535380_1120623244692125,"[New] 10 Singaporean Musicians Who Slay Live Performances And Where To Stalk Them 

You're familiar with The Sam Willows and Gentle Bones, but there're so many other talented local musicians out there, playing at bars and restaurants you already frequent. We do the homework for you and here're 10 places where you can stalk them for live music! 

From personal experience, #3 will have you stay at Timbre for longer than planned.  

53A SuperSonic Sweatshop Jam Stopgap Shirlyn & The UnXpected Smells Like Last Friday Randolf Arriola Jack and Rai Koji SG HubbaBubbas

http://thesmartlocal.com/read/singapore-musicians-liveHere're 10 talented local musicians every Singaporeans should know, and the restaurants/bars they play live at!",0.0,0.0,0.0,1.0,0.0,0.0,0.0
22780,240054519398747_229189877216214,"Trivia: The Sleepless AVP was shot on the weekend of August 18 and 19. Like the title, it was a sleepless production as they were shooting a total of 40 hours in 2 days!
 
http://youtu.be/TuUQzIfAACoThe Philippine Department of Tourism's international TVC, showing a taste of entertainment and lifestyle offerings in the Philippines. For more fun, visit us...",1.0,0.0,0.0,0.0,0.0,0.0,0.0
22781,297751913699970_484992741642552,"Peking duck fans - pay this museum a visit on your next trip to Beijing! #FoodieFridayA museum in Beijing features exhibits that are all about roast duck, a popular Chinese food.",0.0,0.0,0.0,0.0,2.0,0.0,0.0
