no,message,description,id,page_id,full_text,locations
0,"There was a lot of excitement at Victoria Harbour yesterday: it’s the first time that six cruise ships have berthed in one day at the Kai Tak Cruise Terminal and the Ocean Terminal. 
Check out more cruises to Hong Kong: 
http://bit.ly/2nJmW7P",,114979501871035_1342054285830211,DiscoverHongKong,"There was a lot of excitement at Victoria Harbour yesterday: its the first time that six cruise ships have berthed in one day at the Kai Tak Cruise Terminal and the Ocean Terminal. 
Check out more cruises to Hong Kong: 
  ",Victoria Harbour$$Hong Kong
1,History is more fun when you can eat it. http://cnn.it/2m8Xpb8,"In an ever-changing city like Hong Kong, sometimes the most telling historical anecdotes can be found in food.",114979501871035_1337759912926315,DiscoverHongKong,"History is more fun when you can eat it.   In an ever-changing city like Hong Kong, sometimes the most telling historical anecdotes can be found in food.",Hong Kong
2,"Inspiration is everywhere in Hong Kong. See more of the city @DiscoverHongKong on Instagram. http://bit.ly/1HjIj7v 
Photo by Omar Z Robles Photography
Dancer: Brittany Cavaco 
Special thanks to Swoon, HOCA Foundation and HKWalls",,114979501871035_1335040009864972,DiscoverHongKong,"Inspiration is everywhere in Hong Kong. See more of the city @DiscoverHongKong on Instagram.   
Photo by Omar Z Robles Photography
Dancer: Brittany Cavaco 
Special thanks to Swoon, HOCA Foundation and HKWalls ",Hong Kong
3,What’s your favourite piece of architecture in Hong Kong? Share a photo of it with #DiscoverHongKong and follow @DiscoverHongKong on Instagram to see more. http://bit.ly/1HjIj7v,,114979501871035_1333734443328862,DiscoverHongKong,Whats your favourite piece of architecture in Hong Kong? Share a photo of it with #DiscoverHongKong and follow @DiscoverHongKong on Instagram to see more.   ,Hong Kong
4,"There’s beauty in every step you take.

See all that’s beautiful in Hong Kong Arts Month:http://bit.ly/2nfb54z

Photo by Omar Z Robles Photography

Dancer: Brittany Cavaco",,114979501871035_1332601823442124,DiscoverHongKong,"Theres beauty in every step you take.

See all thats beautiful in Hong Kong Arts Month: 

Photo by Omar Z Robles Photography

Dancer: Brittany Cavaco ",Hong Kong Arts Month
5,Rugby on the pitch. Party on the streets. http://bit.ly/2mpZBHS,,114979501871035_1328742510494722,DiscoverHongKong,Rugby on the pitch. Party on the streets.   ,
6,"See artworks from around the world, all under one roof at Art Basel: http://bit.ly/2mhot4E","The internationally-renowned Art Basel comes to Hong Kong for its second year, showcasing artists and galleries from Asia and the West.",114979501871035_1326137760755197,DiscoverHongKong,"See artworks from around the world, all under one roof at Art Basel:   The internationally-renowned Art Basel comes to Hong Kong for its second year, showcasing artists and galleries from Asia and the West.",Asia$$West$$Basel$$Hong Kong
7,"The best arts venue in Hong Kong is Hong Kong.  And March is the best month for arts: http://bit.ly/2mzABQB

Photo by Omar Z Robles Photography

Dancer: Brittany Cavaco",,114979501871035_1326142090754764,DiscoverHongKong,"The best arts venue in Hong Kong is Hong Kong.  And March is the best month for arts:  

Photo by Omar Z Robles Photography

Dancer: Brittany Cavaco ",Hong Kong
8,"March is Hong Kong Arts Month, so get creative and share your favourite Hong Kong lines, shapes and colours with #DiscoverHongKong! Follow us on Instagram @DiscoverHongKong to see more. http://bit.ly/1HjIj7v",,114979501871035_1323787274323579,DiscoverHongKong,"March is Hong Kong Arts Month, so get creative and share your favourite Hong Kong lines, shapes and colours with #DiscoverHongKong! Follow us on Instagram @DiscoverHongKong to see more.   ",Hong Kong
9,"Seven out of ‘Asia’s 50 Best Restaurants 2017’ are in Hong Kong. Find out who they are! http://bit.ly/2lxMHX3

If you’re up for more tasty recommendations in Hong Kong, check this out: http://bit.ly/2mskzrA",,114979501871035_1323805660988407,DiscoverHongKong,"Seven out of Asias 50 Best Restaurants 2017 are in Hong Kong. Find out who they are!  

If youre up for more tasty recommendations in Hong Kong, check this out:   ",Hong Kong
