message,description,id,page_id,full_text,locations
"A close female friend of the Singaporean guys charged for rape in Taiwan, asks Singaporeans to withhold judgement.

She has known two of them for over 10 years and she believes the sex was consensual. She hopes netizens don't consider them guilty before court proceedings have started.","Many people have been slamming the 4 Singaporean guys charged with sexual assault in Taiwan.

But a close female friend of two of the guys doesn't think they are guilty, saying that they are nice guys who are respectful towards women. Here's what she thinks.

https://mustsharenews.com/rape-taiwan-friend/",225524117535380_1326383390782775,TheSmartLocal,"A close female friend of the Singaporean guys charged for rape in Taiwan, asks Singaporeans to withhold judgement.

She has known two of them for over 10 years and she believes the sex was consensual. She hopes netizens don't consider them guilty before court proceedings have started. Many people have been slamming the 4 Singaporean guys charged with sexual assault in Taiwan.

But a close female friend of two of the guys doesn't think they are guilty, saying that they are nice guys who are respectful towards women. Here's what she thinks.

 ",Taiwan
"[New] KFC's New Shoyu Sansho Fills The Gap For Japanese Fried Chicken in Singapore

Remember when KFC launched their Umakara Chicken for a painfully short period of time last year and we couldn’t get enough of it? 

Their newest Japanese-flavoured chicken, Shoyu Sansho Chicken, is here. This crispy shoyu-marinated chicken has now levelled up, and this time, has rice cracker and pepper seaweed sprinkles to top it off.

http://thesmartlocal.com/read/shoyu-sansho-chicken",KFC's new Shoyu Sansho Chicken is soy sauce and seaweed in a chicken - the ultimate Japanese fried chicken flavour explosion!,225524117535380_1326374820783632,TheSmartLocal,"[New] KFC's New Shoyu Sansho Fills The Gap For Japanese Fried Chicken in Singapore

Remember when KFC launched their Umakara Chicken for a painfully short period of time last year and we couldnt get enough of it? 

Their newest Japanese-flavoured chicken, Shoyu Sansho Chicken, is here. This crispy shoyu-marinated chicken has now levelled up, and this time, has rice cracker and pepper seaweed sprinkles to top it off.

  KFC's new Shoyu Sansho Chicken is soy sauce and seaweed in a chicken - the ultimate Japanese fried chicken flavour explosion!",
"Accidents seem distant when we hear about them on the radio in the morning - when we're in the safety of our cars. But it takes only a moment of negligence to be a part of these mishaps.

Not everyone gets a ""second chance"" like the driver in this video, so be gracious and drive safely on the road. This isn't a movie and there certainly is no sequel. Real life requires safer choices.

Singapore Police Force",,225524117535380_1326369584117489,TheSmartLocal,"Accidents seem distant when we hear about them on the radio in the morning - when we're in the safety of our cars. But it takes only a moment of negligence to be a part of these mishaps.

Not everyone gets a ""second chance"" like the driver in this video, so be gracious and drive safely on the road. This isn't a movie and there certainly is no sequel. Real life requires safer choices.

Singapore Police Force ",
"In the light of Chong’s achievements, social media has been set alight by the news, with many praising her for emerging victorious on the international stage. Even our national broadsheet The Straits Times ran a story on it.

While patriotic feelings can run high when the stamp of “foreign approval” is earned, it is crucial to do our research and look at things objectively amid feelings of overzealousness.

In this case, our expose reveals the film festival to be dubious - nowhere as prestigious as mainstream media made it out to be.

With that being said, Michelle Chong will always remain a Singaporean treasure and we can’t wait for her works to get recognised in (proper) international festivals worldwide.","Many Michelle Chong fans and fellow Singaporeans were delighted when the comedian won a Best Director award -- and so were we.

But the film festival that gave her an award is unfortunately kinda dubious. Here's why.

https://mustsharenews.com/michelle-cheong-best-director/",225524117535380_1326321387455642,TheSmartLocal,"In the light of Chongs achievements, social media has been set alight by the news, with many praising her for emerging victorious on the international stage. Even our national broadsheet The Straits Times ran a story on it.

While patriotic feelings can run high when the stamp of foreign approval is earned, it is crucial to do our research and look at things objectively amid feelings of overzealousness.

In this case, our expose reveals the film festival to be dubious - nowhere as prestigious as mainstream media made it out to be.

With that being said, Michelle Chong will always remain a Singaporean treasure and we cant wait for her works to get recognised in (proper) international festivals worldwide. Many Michelle Chong fans and fellow Singaporeans were delighted when the comedian won a Best Director award -- and so were we.

But the film festival that gave her an award is unfortunately kinda dubious. Here's why.

 ",Chongs
"[New] 8 Trainee Places In Singapore To Get Atas Services For Cheap

Desperate times call for desperate measures. That’s why we’ve compiled this list of trainee service deals from tooth extractions at $10 to professional salon haircuts at $6 that’ll keep you coming back even after payday.

http://thesmartlocal.com/read/cheap-trainee-places","Wanna treat yo' self, but broke? Whether it’s a lavish meal or a pricey perm you’ve been dying to get, resist no more!",225524117535380_1326299304124517,TheSmartLocal,"[New] 8 Trainee Places In Singapore To Get Atas Services For Cheap

Desperate times call for desperate measures. Thats why weve compiled this list of trainee service deals from tooth extractions at $10 to professional salon haircuts at $6 thatll keep you coming back even after payday.

  Wanna treat yo' self, but broke? Whether its a lavish meal or a pricey perm youve been dying to get, resist no more!",Singapore
"10 Epic Rail Journeys You Can Make In Southeast Asia - Woodlands To BKK In 38 Hours!

If you don't have enough annual leave or savings to splurge on a Trans-Siberia railway adventure, here're 10 affordable alternatives that're located in SEA's backyard.

http://thesmartlocal.com/read/train-in-sea","Train travel might take longer than plane, but the experience is completely worth it. Here are some of the best train trails just next to Singapore's doorstep!",225524117535380_1322548364499611,TheSmartLocal,"10 Epic Rail Journeys You Can Make In Southeast Asia - Woodlands To BKK In 38 Hours!

If you don't have enough annual leave or savings to splurge on a Trans-Siberia railway adventure, here're 10 affordable alternatives that're located in SEA's backyard.

  Train travel might take longer than plane, but the experience is completely worth it. Here are some of the best train trails just next to Singapore's doorstep!",Trans-Siberia$$Singapore$$Southeast Asia
Only for 8 days! Prepare for monstrous queues.,"Chanel is bringing a pop-up cafe to Singapore, and everyone's going loco for the Coco Cafe.

So if you want a cuppa while playing with a new makeup collection that will be pre-launched there, be quick -- it will only open for 8 days.

https://mustsharenews.com/chanel-cafe-sg/",225524117535380_1326091734145274,TheSmartLocal,"Only for 8 days! Prepare for monstrous queues. Chanel is bringing a pop-up cafe to Singapore, and everyone's going loco for the Coco Cafe.

So if you want a cuppa while playing with a new makeup collection that will be pre-launched there, be quick -- it will only open for 8 days.

 ",Singapore
"There is no need to hop on a plane to escape the bustle of Singapore! 

Located just a short ferry ride away from the mainland are two of the most underrated islands in Singapore - St John's Island and Kusu Island. You can either bask in the quiet idyllic setting of St John's Island or explore the magnificent taoist temple and kusu kramats of Kusu Islands! 

Find out more about The Southern Islands here: 
http://thesmartlocal.com/read/the-southern-islands-photojournal-and-guide

Never want to miss a post by us again?
Like TheSmartLocal.com and set Notifications to ""All On""

Director: John Edward Lim I Models: Choo Hui Zhi & John",,225524117535380_1326022257485555,TheSmartLocal,"There is no need to hop on a plane to escape the bustle of Singapore! 

Located just a short ferry ride away from the mainland are two of the most underrated islands in Singapore - St John's Island and Kusu Island. You can either bask in the quiet idyllic setting of St John's Island or explore the magnificent taoist temple and kusu kramats of Kusu Islands! 

Find out more about The Southern Islands here: 
 

Never want to miss a post by us again?
Like   set Notifications to ""All On""

Director: John Edward Lim I Models: Choo Hui Zhi & John ",St John 's Island$$Kusu Islands$$Southern Islands$$Kusu Island$$Singapore
"5 Mutant HDB Apartments In Singapore You Can Buy With CPF.

HDB flats don't look all the same. From HDB Lofts to Penthouses, this list is going to change everything you know about HDBs.

Time to share this with loved ones and make this your new home.

http://thesmartlocal.com/read/mutant-hdbs","HDB flats aren't just staid squares of sameness. From Landed HDBs to Duplex Penthouses, we've picked out enough examples here to show just wrong you are.",225524117535380_1322547874499660,TheSmartLocal,"5 Mutant HDB Apartments In Singapore You Can Buy With CPF.

HDB flats don't look all the same. From HDB Lofts to Penthouses, this list is going to change everything you know about HDBs.

Time to share this with loved ones and make this your new home.

  HDB flats aren't just staid squares of sameness. From Landed HDBs to Duplex Penthouses, we've picked out enough examples here to show just wrong you are.",Singapore
This looks way too good.,"[NEW] 10 Signature Bee Hoon Dishes That Propelled These Eateries To Fame

Bee hoon might be known as yellow noodle's less flavourful skinny cousin, but its versatility just means it can be used for so many more things - even turning an unassuming hawker stall into an Instagram favourite! 

Like Eatbook.sg for more food guides like these!
http://eatbook.sg/signature-bee-hoon/",225524117535380_1325369467550834,TheSmartLocal,"This looks way too good. [NEW] 10 Signature Bee Hoon Dishes That Propelled These Eateries To Fame

Bee hoon might be known as yellow noodle's less flavourful skinny cousin, but its versatility just means it can be used for so many more things - even turning an unassuming hawker stall into an Instagram favourite! 

Like   more food guides like these!
 ",
