message,description,id,page_id,full_text,locations
"No, the Golden Triangle isn't the Bermuda Triangle, so you definitely won't be lost going there!

In fact, the Golden Triangle consists of the national capital Delhi, Agra and Jaipur which forms a triangular shape on a map. You can discover Qutab Minar in Delhi to the Amer Fort in Jaipur and of course the Taj Mahal in Agra.

Venture this Golden Triangle and discover the extraordinary wealth of cultural and historical splendor each three cities offers ➔ https://goo.gl/7suOMu",,1647170365552546_1889108648025382,Tripviss,"No, the Golden Triangle isn't the Bermuda Triangle, so you definitely won't be lost going there!

In fact, the Golden Triangle consists of the national capital Delhi, Agra and Jaipur which forms a triangular shape on a map. You can discover Qutab Minar in Delhi to the Amer Fort in Jaipur and of course the Taj Mahal in Agra.

Venture this Golden Triangle and discover the extraordinary wealth of cultural and historical splendor each three cities offers    ",Amer Fort$$Delhi$$Jaipur$$Golden Triangle$$Agra
"Who doesn't enjoy food - much more Thailand street food? They even have FRIED INSECTS!!!

Get a trip and treat yourself by satisfying your craving in Thailand! ➔ https://goo.gl/L1HN0F",,1647170365552546_1886627514940162,Tripviss,"Who doesn't enjoy food - much more Thailand street food? They even have FRIED INSECTS!!!

Get a trip and treat yourself by satisfying your craving in Thailand!    ",Thailand
"Tripviss is giving away a pair of Sunway Lagoon, Malaysia entrance tickets to 10 lucky winners in celebration of Nickelodeon Lost Lagoon’s 1st Birthday Bash this March!

JOIN NOW ➔ https://goo.gl/bSrnfT 【Ends 30th March! Hurry!】

Terms & Conditions apply.",,1647170365552546_1886498241619756,Tripviss,"Tripviss is giving away a pair of Sunway Lagoon, Malaysia entrance tickets to 10 lucky winners in celebration of Nickelodeon Lost Lagoons 1st Birthday Bash this March!

JOIN NOW    Ends 30th March! Hurry!

Terms & Conditions apply. ",Sunway Lagoon$$Malaysia
"Whether you’re traveling alone or with your friends and family, Koh Samui is an island jam-packed with dozens of things to do such as water skiing, temple exploration and shopping sprees!

Book your perfect trip to Koh Samui with your loved ones now at Tripviss.com  ➔ https://goo.gl/iAZW44

Our Travel Experts in Koh Samui will create a custom trip according to your travel needs!",,1647170365552546_1883521141917466,Tripviss,"Whether youre traveling alone or with your friends and family, Koh Samui is an island jam-packed with dozens of things to do such as water skiing, temple exploration and shopping sprees!

Book your perfect trip to Koh Samui with your loved ones now at      

Our Travel Experts in Koh Samui will create a custom trip according to your travel needs! ",Koh Samui
"East Java is flourished with the beauty of active volcanoes and Mother Nature! Be sure to get first-hand experience in exploring how beautiful East Java's landscape is as well as trying their local food such as Lotong Balap and Sate kelopo!

All ready for your next adventure? We’ll settle the hassle of planning your perfect trip to East Java for FREE ➔ https://goo.gl/YaujwP  

Our itineraries are crafted to be 100% customisable to suits your travel preferences! 

Save up to 30% with middleman-free prices by booking directly with our Local Travel Experts in Indonesia at Tripviss.com.",,1647170365552546_1883002855302628,Tripviss,"East Java is flourished with the beauty of active volcanoes and Mother Nature! Be sure to get first-hand experience in exploring how beautiful East Java's landscape is as well as trying their local food such as Lotong Balap and Sate kelopo!

All ready for your next adventure? Well settle the hassle of planning your perfect trip to East Java for FREE     

Our itineraries are crafted to be 100% customisable to suits your travel preferences! 

Save up to 30% with middleman-free prices by booking directly with our Local Travel Experts in Indonesia at   ",Indonesia
"Exclusively Fun & Natural, Jeju Island

Head over to Jeju Island and personally get a taste of Jeju's tangerine and seafood as well as the fresh smell of canola flowers' blooming! Don't miss out the sight of majestic waterfalls and the amazing sunset-painted landscape that Jeju Island has to offer!

Get your custom itinerary planned by our Local Travel Experts in South Korea for FREE: https://goo.gl/eX4hNX

OR check out our ready-to-book handcrafted trips here: https://goo.gl/tKMG9S",,1647170365552546_1882365795366334,Tripviss,"Exclusively Fun & Natural, Jeju Island

Head over to Jeju Island and personally get a taste of Jeju's tangerine and seafood as well as the fresh smell of canola flowers' blooming! Don't miss out the sight of majestic waterfalls and the amazing sunset-painted landscape that Jeju Island has to offer!

Get your custom itinerary planned by our Local Travel Experts in South Korea for FREE:  

OR check out our ready-to-book handcrafted trips here:   ",Jeju Island$$South Korea$$Jeju$$Jeju Island Head
"The Earth may mostly be covered in blue and green but there are many vivid places you might not know that exist!

Share and tag the people you want to venture the world with!",,1647170365552546_1881747398761507,Tripviss,"The Earth may mostly be covered in blue and green but there are many vivid places you might not know that exist!

Share and tag the people you want to venture the world with! ",Earth
"With a blend of Mother Nature, Bandung will surely not disappoint anyone who comes visit! Come experience the tranquility of Bandung with your very own eyes!

Check out our customisable ready-to-book itineraries ➔ https://goo.gl/iBAK9m

Get your FREE custom itinerary to Bandung, planned by our Local Travel Experts in Indonesia ➔ https://goo.gl/6qbtor",,1647170365552546_1880458202223760,Tripviss,"With a blend of Mother Nature, Bandung will surely not disappoint anyone who comes visit! Come experience the tranquility of Bandung with your very own eyes!

Check out our customisable ready-to-book itineraries   

Get your FREE custom itinerary to Bandung, planned by our Local Travel Experts in Indonesia    ",Bandung$$Indonesia
"Congratulations to Man Yee Loo! You’re the lucky winner for Tripviss.com ""Let’s Go Boracay Giveaway"" contest by random selection! Thanks to everyone who had participated in our giveaway!

Follow Tripviss to be the first to get updates on our next giveaway in March!

P.S. Don't feel dishearten to those who didn't win, check our itineraries out so you can experience the same! ➔ https://goo.gl/JlMviv

--

In case you missed it, Tripviss ""Let’s Go Boracay Giveaway"" includes:

✔ 4 Days 3 Nights Accommodation: At Boracay Ocean Club Beach Resort (with 3-DAY Breakfasts INCLUDED).

✔ Exciting Island Hopping Tour: Leisure time at Puka Beach, cove adventures at Crystal Cove,fish feeding and lunch.

✔ 3 ThrillingWater Sports: Experience parasailing, banana boat & sunset sailing at the beautiful Boracay Island.

Terms & conditions apply.",,1647170365552546_1879900345612879,Tripviss,"Congratulations to Man Yee Loo! Youre the lucky winner for   Go Boracay Giveaway"" contest by random selection! Thanks to everyone who had participated in our giveaway!

Follow Tripviss to be the first to get updates on our next giveaway in March!

  feel dishearten to those who didn't win, check our itineraries out so you can experience the same!   

--

In case you missed it, Tripviss ""Lets Go Boracay Giveaway"" includes:

 4 Days 3 Nights Accommodation: At Boracay Ocean Club Beach Resort (with 3-DAY Breakfasts INCLUDED).

 Exciting Island Hopping Tour: Leisure time at Puka Beach, cove adventures at Crystal Cove,fish feeding and lunch.

 3 ThrillingWater Sports: Experience parasailing, banana boat & sunset sailing at the beautiful Boracay Island.

Terms & conditions apply. ",Crystal Cove$$Puka Beach$$Boracay Island$$Boracay Ocean Club Beach Resort
"Round up your loved ones and plan your trip to Cairns, Australia now to experience the time of your life with all the fun activities you can do, such as cuddling a koala and feeding the crocodiles!

Plan & book now with our ready-made Cairns itineraries (customizable to suit your travel style) here ➔ https://goo.gl/SqA6sh

OR get your perfect Cairns, Australia trip planned for FREE with our Local Destination Experts at Tripviss.com ➔ https://goo.gl/bKd0SE",,1647170365552546_1879097815693132,Tripviss,"Round up your loved ones and plan your trip to Cairns, Australia now to experience the time of your life with all the fun activities you can do, such as cuddling a koala and feeding the crocodiles!

Plan & book now with our ready-made Cairns itineraries (customizable to suit your travel style) here   

OR get your perfect Cairns, Australia trip planned for FREE with our Local Destination Experts at     ",Australia
