message,description,id,page_id,full_text,locations
A mouthful of the lip-smacking prawn curry is sure to tantalise your taste buds with its piquant flavours and mesmerising aroma. This flavoursome gravy-based curry is usually accompanied with rice and rotis. #TuesdayTreat,,144113158937441_1630026887012720,incredibleindia,A mouthful of the lip-smacking prawn curry is sure to tantalise your taste buds with its piquant flavours and mesmerising aroma. This flavoursome gravy-based curry is usually accompanied with rice and rotis. #TuesdayTreat ,
"#Fanshare Polo match in the beautiful town of Leh, Ladakh, India
📷 Choo Wen Tang",,144113158937441_1627072437308165,incredibleindia,"#Fanshare Polo match in the beautiful town of Leh, Ladakh, India
 Choo Wen Tang ",India$$Ladakh
"Join us as we celebrate the rich culture & tradition of the beautiful state of #Assam this weekend at #NCPALivingTraditions | 18-19th March | Tix@ http://bit.ly/LivingTraditionsAssam

#FolkMusic #IncredibleIndia",,144113158937441_1626176007397808,incredibleindia,"Join us as we celebrate the rich culture & tradition of the beautiful state of #Assam this weekend at #NCPALivingTraditions | 18-19th March | Tix@  

#FolkMusic #IncredibleIndia ",
"The Borra Caves. situated around 90km north of Visakhapatnam, in the Ananthgiri Hill Ranges of Eastern Ghats of India, is one of the largest caves in the Indian subcontinent. The caves are believed to be approximately 150 million years old. Located approximately 1,400 metres above sea level, the caves are known for their stalactite & stalagmite formations. #IncredibleIndia",,144113158937441_1624951267520282,incredibleindia,"The Borra Caves. situated around 90km north of Visakhapatnam, in the Ananthgiri Hill Ranges of Eastern Ghats of India, is one of the largest caves in the Indian subcontinent. The caves are believed to be approximately 150 million years old. Located approximately 1,400 metres above sea level, the caves are known for their stalactite & stalagmite formations. #IncredibleIndia ",Visakhapatnam$$India$$Ananthgiri Hill
"Groove to the tunes of JOI, the Assamese folk band for the first time at the NCPA Mumbai, led by famous singer-composer Joi Barua

19th March I 6:30PM I Tix@ http://bit.ly/LivingTraditionsAssam

Picture Courtesy: Nimish Jain Photography.

#NCPALivingTraditions #Assam #IncredibleIndia",,144113158937441_1624252540923488,incredibleindia,"Groove to the tunes of JOI, the Assamese folk band for the first time at the NCPA Mumbai, led by famous singer-composer Joi Barua

19th March I 6:30PM I Tix@  

Picture Courtesy: Nimish Jain Photography.

#NCPALivingTraditions #Assam #IncredibleIndia ",
"It’s time to celebrate holi, the festival of colours. The festival marks the end of winter and the onset of spring season and commemorates the triumph of good over evil.  Holi is celebrated throughout the country with great fun and enthusiasm. Get drenched in the colours of Holi & usher in a season of happiness & prosperity. #HappyHoli #IncredibleIndia",,144113158937441_1622014651147277,incredibleindia,"Its time to celebrate holi, the festival of colours. The festival marks the end of winter and the onset of spring season and commemorates the triumph of good over evil.  Holi is celebrated throughout the country with great fun and enthusiasm. Get drenched in the colours of Holi & usher in a season of happiness & prosperity. #HappyHoli #IncredibleIndia ",
#PATWA award in the 'Best Destination - Heritage & Culture' category #IncredibleIndia #ITBBerlin,,144113158937441_1618772684804807,incredibleindia,#PATWA award in the 'Best Destination - Heritage & Culture' category #IncredibleIndia #ITBBerlin ,
"#Diwali, the festival of lights, is also a celebration of colours. Exquisitely designed & coloured, the rangolis signify warm hospitality & auspiciousness. #colours #art #festival #IncredibleIndia",,144113158937441_1617386478276761,incredibleindia,"#Diwali, the festival of lights, is also a celebration of colours. Exquisitely designed & coloured, the rangolis signify warm hospitality & auspiciousness. #colours #art #festival #IncredibleIndia ",
"A picturesque trek leads to the Nongriat Rainbow falls in Meghalaya. Once there, the beautiful sight of the waterfalls will leave you speechless. Also, when around, don’t miss the living root bridges. #NorthEastIndia #ParadiseUnexplored #IncredibleIndia",,144113158937441_1616263751722367,incredibleindia,"A picturesque trek leads to the Nongriat Rainbow falls in Meghalaya. Once there, the beautiful sight of the waterfalls will leave you speechless. Also, when around, dont miss the living root bridges. #NorthEastIndia #ParadiseUnexplored #IncredibleIndia ",Meghalaya$$Nongriat Rainbow
"Cham dance is a lively dance form performed with masks. This ritual mask dance is performed by monks outside monasteries during Buddhist festivals. This spiritual dance is performed to banish evil spirits, invoke God and to cleanse one’s mind. 

#ChamDance #Buddhism #IncredibleIndia",,144113158937441_1614086541940088,incredibleindia,"Cham dance is a lively dance form performed with masks. This ritual mask dance is performed by monks outside monasteries during Buddhist festivals. This spiritual dance is performed to banish evil spirits, invoke God and to cleanse ones mind. 

#ChamDance #Buddhism #IncredibleIndia ",
