message,description,id,page_id,full_text,locations
"UNESCO named the village of Wae Rebo on the island of Flores in East Nusa Tenggara (NTT) the Top Award of Excellence from UNESCO in the 2012 UNESCO Asia Pacific Heritage Awards, announced in Bangkok on 27 August 2012. Visit this unique yet remote village to see why it was recognized for its rebuilding of the Mbaru Niang traditional house based on the spirit of community cooperation towards sustainable traditions. #WonderfulIndonesia

Photo Source: likethisadventure.com","The traditional village of Wae Rebo in the district of Manggarai on the island of Flores, East Nusatenggara, has received the Top Award of Excellence from UNESCO in the 2012 UNESCO Asia Pacific Heritage Awards, announced in Bangkok on 27 August 2012.",67558139928_10155104246989929,indonesia.travel,"UNESCO named the village of Wae Rebo on the island of Flores in East Nusa Tenggara (NTT) the Top Award of Excellence from UNESCO in the 2012 UNESCO Asia Pacific Heritage Awards, announced in Bangkok on 27 August 2012. Visit this unique yet remote village to see why it was recognized for its rebuilding of the Mbaru Niang traditional house based on the spirit of community cooperation towards sustainable traditions. #WonderfulIndonesia

Photo Source:   traditional village of Wae Rebo in the district of Manggarai on the island of Flores, East Nusatenggara, has received the Top Award of Excellence from UNESCO in the 2012 UNESCO Asia Pacific Heritage Awards, announced in Bangkok on 27 August 2012.",Flores$$Manggarai$$Wae Rebo$$Bangkok$$East Nusatenggara
"Bali is not the only heavenly island in Indonesia. In the East Nusa Tenggara province, famous for its Komodo Dragons, are Sumba, Flores and Timor which are serene yet exciting tropical paradises where you can enjoy nature at its best. Find below  a list of the best homestays you can stay at during your journey to these heavenly islands. #WonderfulIndonesia

Photo source: Tripadvisor","including clusters of small islands surrounding these, whereas, the further islands all form part of the East Nusatenggara province that comprises the islands of",67558139928_10155101492514929,indonesia.travel,"Bali is not the only heavenly island in Indonesia. In the East Nusa Tenggara province, famous for its Komodo Dragons, are Sumba, Flores and Timor which are serene yet exciting tropical paradises where you can enjoy nature at its best. Find below  a list of the best homestays you can stay at during your journey to these heavenly islands. #WonderfulIndonesia

Photo source: Tripadvisor including clusters of small islands surrounding these, whereas, the further islands all form part of the East Nusatenggara province that comprises the islands of",Bali$$Indonesia$$Timor$$Sumba$$East Nusatenggara
"The Hindu population in Bali celebrate their New Year in silence during Nyepi Day, which will fall on 28th March this year. On the eve of Nyepi, loud festivities will be held where papier-maché effigies or Ogoh-Ogoh are paraded around the village and along beaches to be burnt to cinders, denoting that all evil on this island has, thereby, been cleansed. On the day of Nyepi, however, the whole island will be trascend into serene silence when everyone meditates. #WonderfulIndonesia","Every culture and religion in the world has its own way to define and celebrate the coming of the New Year. While the Chinese have the Lunar New Year celebrations, the Muslims celebrate the first of Muharram, and the world in general celebrates the first day of January, the Hindus of",67558139928_10155096340319929,indonesia.travel,"The Hindu population in Bali celebrate their New Year in silence during Nyepi Day, which will fall on 28th March this year. On the eve of Nyepi, loud festivities will be held where papier-mach effigies or Ogoh-Ogoh are paraded around the village and along beaches to be burnt to cinders, denoting that all evil on this island has, thereby, been cleansed. On the day of Nyepi, however, the whole island will be trascend into serene silence when everyone meditates. #WonderfulIndonesia Every culture and religion in the world has its own way to define and celebrate the coming of the New Year. While the Chinese have the Lunar New Year celebrations, the Muslims celebrate the first of Muharram, and the world in general celebrates the first day of January, the Hindus of",Bali$$Nyepi$$Muharram
"Visit the Wonderful Indonesia Pavilion at ITB (Internationale Tourismus Boerse) Berlin, world’s leading travel trade show in Germany from 8-12 March 2017. Be amazed by Indonesia’s own traditionally crafted, ocean sailing Phinisi Schooner, the focal attraction of the pavilion.  Meet Indonesia's operators, hotels and airlines offering unique experiences  throughout the Archipelago: from cultural tours to the mighty Borobudur temple,  to climbing the active volcano of Rinjani,  to finding secluded white -  or pink - beaches on Komodo island, find out about the hundreds of wonderful destinations in Indonesia NOW at ITB Berlin! #WonderfulIndonesia",,67558139928_10155068317044929,indonesia.travel,"Visit the Wonderful Indonesia Pavilion at ITB (Internationale Tourismus Boerse) Berlin, worlds leading travel trade show in Germany from 8-12 March 2017. Be amazed by Indonesias own traditionally crafted, ocean sailing Phinisi Schooner, the focal attraction of the pavilion.  Meet Indonesia's operators, hotels and airlines offering unique experiences  throughout the Archipelago: from cultural tours to the mighty Borobudur temple,  to climbing the active volcano of Rinjani,  to finding secluded white -  or pink - beaches on Komodo island, find out about the hundreds of wonderful destinations in Indonesia NOW at ITB Berlin! #WonderfulIndonesia ",Indonesia Pavilion$$Borobudur$$Indonesia$$Phinisi Schooner$$Berlin$$Germany$$Rinjani
"The Bali Sprit Festival is set to celebrate its 10th anniversary this year at the Bhanuswari Resort and Spa. Through the traditions of yoga, dance, healing and world music, Bali Spirit Festival attracts over 7,000 people every year from across the world. The 5-day, 7-night festival offers you a wide range of events to choose from between 8am-11pm each day for a full week. #WonderfulIndonesia

Photo by Bali Spirit Festival","As the festival celebrates its ten years anniversary this year, news of this gathering that will be filled with world-renowned musicians, yogis and dancers from every continent, has spread across the globe.",67558139928_10155062710809929,indonesia.travel,"The Bali Sprit Festival is set to celebrate its 10th anniversary this year at the Bhanuswari Resort and Spa. Through the traditions of yoga, dance, healing and world music, Bali Spirit Festival attracts over 7,000 people every year from across the world. The 5-day, 7-night festival offers you a wide range of events to choose from between 8am-11pm each day for a full week. #WonderfulIndonesia

Photo by Bali Spirit Festival As the festival celebrates its ten years anniversary this year, news of this gathering that will be filled with world-renowned musicians, yogis and dancers from every continent, has spread across the globe.",Bhanuswari Resort
"Experience the green and fertile nature of Bali, and feel the charm and smiling warmth of the people of Bali.  King Salman Abdul Aziz Al Saud of Saudi Arabia will stay 6 days on Bali for a well deserved rest and holiday. Welcome to Bali Your Majesty King Salman and entourage! A warm welcome to Indonesia. #WonderfulIndonesia #PesonaKingSalman","Ubud is a tranquil, culturally rich town in the heart of Bali Indonesia. Explore the exotic attractions of Ubud Bali and rejuvenate the spirit.",67558139928_10155046324849929,indonesia.travel,"Experience the green and fertile nature of Bali, and feel the charm and smiling warmth of the people of Bali.  King Salman Abdul Aziz Al Saud of Saudi Arabia will stay 6 days on Bali for a well deserved rest and holiday. Welcome to Bali Your Majesty King Salman and entourage! A warm welcome to Indonesia. #WonderfulIndonesia #PesonaKingSalman Ubud is a tranquil, culturally rich town in the heart of Bali Indonesia. Explore the exotic attractions of Ubud Bali and rejuvenate the spirit.",Ubud$$Bali$$Indonesia$$Saudi Arabia$$Bali Indonesia$$Ubud Bali
"Experience the beauty of Bali wrapped in exclusive luxurious environment at Nusa Dua. Situated about 40 km from Denpasar, Nusa Dua is a sparklingly prestigious, sprawling enclave of international super deluxe hotels, invigorating spas, exclusive golf courses, and world class convention centers.  Here, King Salman Abdul Aziz Al Saud of Saudi Arabia plans to relax and enjoy the holidays on the magical island of Bali. #WonderfulIndonesia #PesonaKingSalman","Prestigious Nusa Dua is the capital of Bali, Indonesia. The enclave's luxury hotels, spas, and golf courses make the most of Bali's natural beauty.",67558139928_10155043024149929,indonesia.travel,"Experience the beauty of Bali wrapped in exclusive luxurious environment at Nusa Dua. Situated about 40 km from Denpasar, Nusa Dua is a sparklingly prestigious, sprawling enclave of international super deluxe hotels, invigorating spas, exclusive golf courses, and world class convention centers.  Here, King Salman Abdul Aziz Al Saud of Saudi Arabia plans to relax and enjoy the holidays on the magical island of Bali. #WonderfulIndonesia #PesonaKingSalman Prestigious Nusa Dua is the capital of Bali, Indonesia. The enclave's luxury hotels, spas, and golf courses make the most of Bali's natural beauty.",Bali$$Indonesia$$Saudi Arabia$$Denpasar
"Be amazed by the beauty of the Grand Istiqlal Mosque that will be visited by King Salman Abdul Aziz Al Saud of Saudi Arabia on the second day of his state visit to Jakarta. The mosque has a large rectangular prayer hall with a 45 meter diameter dome supported by 12 round columns, and has 4 levels of balconies. #WonderfulIndonesia

Photo by Rob Mulally","First opened to the public by Indonesia’s first President, Soekarno, on 22 February 1978, the grand Istiqlal Mosque of Jakarta is the largest mosque in South East Asia both in structure and capacity, as it can accommodate congregations of up to 120,000 people.",67558139928_10155040460509929,indonesia.travel,"Be amazed by the beauty of the Grand Istiqlal Mosque that will be visited by King Salman Abdul Aziz Al Saud of Saudi Arabia on the second day of his state visit to Jakarta. The mosque has a large rectangular prayer hall with a 45 meter diameter dome supported by 12 round columns, and has 4 levels of balconies. #WonderfulIndonesia

Photo by Rob Mulally First opened to the public by Indonesias first President, Soekarno, on 22 February 1978, the grand Istiqlal Mosque of Jakarta is the largest mosque in South East Asia both in structure and capacity, as it can accommodate congregations of up to 120,000 people.",South East Asia$$Saudi Arabia$$Grand Istiqlal Mosque$$Jakarta
The city of Jakarta by night is a view best enjoyed while sipping a cold drink at one of Jakarta’s many rooftop restaurants. From 1st March for three days King Salman Abdul Aziz Al Saud of the Kingdom of Saudi Arabia will visit Jakarta for an official state visit to the Republic of Indonesia. We hope His Majesty will  take the time to enjoy the beautiful view from atop this sprawling metropolis. #WonderfulIndonesia #PesonaRajaSalman,"Find the best attractions, nightlife, and shopping in Jakarta. Indonesia's sprawling capital is home to 9 million people and a fast-paced atmosphere.",67558139928_10155036269029929,indonesia.travel,"The city of Jakarta by night is a view best enjoyed while sipping a cold drink at one of Jakartas many rooftop restaurants. From 1st March for three days King Salman Abdul Aziz Al Saud of the Kingdom of Saudi Arabia will visit Jakarta for an official state visit to the Republic of Indonesia. We hope His Majesty will  take the time to enjoy the beautiful view from atop this sprawling metropolis. #WonderfulIndonesia #PesonaRajaSalman Find the best attractions, nightlife, and shopping in Jakarta. Indonesia's sprawling capital is home to 9 million people and a fast-paced atmosphere.",Indonesia$$Republic of Indonesia$$Jakartas$$Kingdom of Saudi Arabia$$Jakarta
"Jakarta malls are filled with a myriad selection of finger foods. Martabak is one of the most popular and a must-try. Taste the savoury with chicken/meat stuffing or the sweet one with cheese, chocolate, and peanuts topping choices. Can't decide a flavor to try? Martabak Pizza is the one for you, a wheel of 8 sweet toppings to spoil your taste buds. #WonderfulIndonesia

Photo by Bylian Sanada","These days, Instagram and other social media channels make us crave for updates and trends, especially about foods. For mall goers, a bit of snacking during  a shopping spree is a must. Finding the most photogenic and tasty finger foods are also becoming a buzzing trend among Jakarta urbanites. Let’...",67558139928_10155033201414929,indonesia.travel,"Jakarta malls are filled with a myriad selection of finger foods. Martabak is one of the most popular and a must-try. Taste the savoury with chicken/meat stuffing or the sweet one with cheese, chocolate, and peanuts topping choices. Can't decide a flavor to try? Martabak Pizza is the one for you, a wheel of 8 sweet toppings to spoil your taste buds. #WonderfulIndonesia

Photo by Bylian Sanada These days, Instagram and other social media channels make us crave for updates and trends, especially about foods. For mall goers, a bit of snacking during  a shopping spree is a must. Finding the most photogenic and tasty finger foods are also becoming a buzzing trend among Jakarta urbanites. Let...",Jakarta
