message,description,id,page_id,full_text,locations
Have you been to the most beautiful island in the world? 😱,"This is El Nido in Palawan, Philippines and it's been dubbed as the most beautiful island in the world. Tag someone you'd like to explore its lagoons with!

By: Max Seigal Photography and Seagull Aerial
Music: ""Synchronous"" by jeffrey koepper ambient electronic music",240054519398747_1398642780206576,itsmorefuninthePhilippines,"Have you been to the most beautiful island in the world?  This is El Nido in Palawan, Philippines and it's been dubbed as the most beautiful island in the world. Tag someone you'd like to explore its lagoons with!

By: Max Seigal Photography and Seagull Aerial
Music: ""Synchronous"" by jeffrey koepper ambient electronic music",El Nido$$Palawan$$Philippines
Got 8 minutes? Check out this vlog about the beauty of the Philippines and genuine hospitality of the Filipinos.,"If this video doesn't make you want to visit the Philippines, then I quit. 

Almost every video I saw about the Philippines was about the islands. That's too shallow and easy. So I wanted to visit this country to make the best video on this country, and I think this is it. 

You won't see pretty girls on beaches in this video. You will see the real Philippines that I so fell in love with. 
To show you how generous people are, I lived on $0.00 for a day.
To show you how cheap the place can be, we threw a party for an entire village.
To shed more light on poverty, we bought a 1,000 burgers to feed people. 

This is my best video to date made in my favorite country to date. I hope you enjoy watching like I enjoyed making. 

LIKE Nas Daily on Facebook please :)
@NasDaily on Instagram too!!",240054519398747_1388447421226112,itsmorefuninthePhilippines,"Got 8 minutes? Check out this vlog about the beauty of the Philippines and genuine hospitality of the Filipinos. If this video doesn't make you want to visit the Philippines, then I quit. 

Almost every video I saw about the Philippines was about the islands. That's too shallow and easy. So I wanted to visit this country to make the best video on this country, and I think this is it. 

You won't see pretty girls on beaches in this video. You will see the real Philippines that I so fell in love with. 
To show you how generous people are, I lived on   a day.
To show you how cheap the place can be, we threw a party for an entire village.
To shed more light on poverty, we bought a 1,000 burgers to feed people. 

This is my best video to date made in my favorite country to date. I hope you enjoy watching like I enjoyed making. 

LIKE Nas Daily on Facebook please :)
@NasDaily on Instagram too!!",Philippines
Starting the week right with positive vibes!,"Kawasan Falls in Cebu, Philippines is perhaps one of the most photographed waterfalls in the world. But did you know it is nestled in the middle of a vast, lush tropical forest? Check out this video by #BDTeam's Tom Jauncey

Music: ""It's Strange"" (Chet Porter Remix) by Louis The Child",240054519398747_1385722074831980,itsmorefuninthePhilippines,"Starting the week right with positive vibes! Kawasan Falls in Cebu, Philippines is perhaps one of the most photographed waterfalls in the world. But did you know it is nestled in the middle of a vast, lush tropical forest? Check out this video by #BDTeam's Tom Jauncey

Music: ""It's Strange"" (Chet Porter Remix) by Louis The Child",Kawasan Falls$$Cebu$$Philippines
"Have you experienced the breathtaking view of Mount Mayon in Legazpi, Albay? On a cloudless morning, it simply is awesome!","There's something to be said about the majesty of Mount Mayon in the morning, as seen on Sumlang Lake. 👌happy weekend!

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",240054519398747_1374878649249656,itsmorefuninthePhilippines,"Have you experienced the breathtaking view of Mount Mayon in Legazpi, Albay? On a cloudless morning, it simply is awesome! There's something to be said about the majesty of Mount Mayon in the morning, as seen on Sumlang Lake. happy weekend!

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",Legazpi$$Mount Mayon$$Albay$$Sumlang Lake
"Don't miss out on a golden opportunity to enrich your knowledge on the innovations of education technology. EduTech Philippines invites the public to attend their expo for free seminars, activities, networking and many more at the SMX Convention Center, SM Mall of Asia Complex. See you there on 21-22 February!","EduTech Philippines invites everyone to join their expo on 21-22 February 2017 at the SMX Convention Center, SM Mall of Asia Complex. Free sessions, #teachtechtalks, #makerspace and more await the public! 

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",240054519398747_1367608433310011,itsmorefuninthePhilippines,"Don't miss out on a golden opportunity to enrich your knowledge on the innovations of education technology. EduTech Philippines invites the public to attend their expo for free seminars, activities, networking and many more at the SMX Convention Center, SM Mall of Asia Complex. See you there on 21-22 February! EduTech Philippines invites everyone to join their expo on 21-22 February 2017 at the SMX Convention Center, SM Mall of Asia Complex. Free sessions, #teachtechtalks, #makerspace and more await the public! 

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",
"The oldest traditional craft event in Asia and the largest sailing event in the Philippines runs its sailing competition today. The 45th Paraw Regatta Festival saw a total of 48 entries from all over the region race on the Iloilo Strait. Pocket events such as the Pinta Layag (sail painting), Pinta Tawo (body painting), angler competition and beach volleyball tournaments happen simultaneously on land. 
#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",,240054519398747_1366745980062923,itsmorefuninthePhilippines,"The oldest traditional craft event in Asia and the largest sailing event in the Philippines runs its sailing competition today. The 45th Paraw Regatta Festival saw a total of 48 entries from all over the region race on the Iloilo Strait. Pocket events such as the Pinta Layag (sail painting), Pinta Tawo (body painting), angler competition and beach volleyball tournaments happen simultaneously on land. 
#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers ",Iloilo Strait$$Asia$$Philippines
"EduTECH Philippines is having a free expo from 21-22 February 2017 at SMX Convention Center, SM MOA Complex, to discuss about the latest EdTech and K-12 Education developments. By bringing together some of the leading thinkers in education in the Philippines, the event will inspire the audience and challenge them to think differently. Over 60 inspirational speakers are invited to share their ideas and a passion to inspire change in education. Running alongside the main event is a dedicated exhibition, showcasing the latest education technology solutions and free content for teachers from teachers. Free sessions, #teachtechtalks, #makerspace and more await the public. 

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers",,240054519398747_1361308710606650,itsmorefuninthePhilippines,"EduTECH Philippines is having a free expo from 21-22 February 2017 at SMX Convention Center, SM MOA Complex, to discuss about the latest EdTech and K-12 Education developments. By bringing together some of the leading thinkers in education in the Philippines, the event will inspire the audience and challenge them to think differently. Over 60 inspirational speakers are invited to share their ideas and a passion to inspire change in education. Running alongside the main event is a dedicated exhibition, showcasing the latest education technology solutions and free content for teachers from teachers. Free sessions, #teachtechtalks, #makerspace and more await the public. 

#tpbgovph #itsmorefuninthephilippines #tourismphilippines #tpbdelivers ",EduTECH Philippines$$Philippines
"The reason why #ItsMoreFunInThePhilippines is this: the Filipino people and our values define our landscape, shining bright and brings forth an undeniable warmth felt by everyone who visit our islands. 

Allow us to share with the whole world how things are #WhenWithFilipinos.

#tpbgovph #tourismphilippines #tpbdelivers","The Department of Tourism, retaining the",240054519398747_1345583012179220,itsmorefuninthePhilippines,"The reason why #ItsMoreFunInThePhilippines is this: the Filipino people and our values define our landscape, shining bright and brings forth an undeniable warmth felt by everyone who visit our islands. 

Allow us to share with the whole world how things are #WhenWithFilipinos.

#tpbgovph #tourismphilippines #tpbdelivers The Department of Tourism, retaining the",
"In search for a little peace and quiet? Find comfort in Calauag, Quezon's Pulong Pasig and its breathtaking shoal. Photo credits to Marilyn Pereira Capuno via Tara na sa Lalawigan ng Quezon!

#tpbgovph #itsmorefuninthephilippines #tourismphilippines","""Pulong Pasig""  in Brgy.Sto. Angel Calauag Quezon. This is a long stretch of island that you can only see between 9am to 11am. White sand and clear water. 

Info/photo by:Marilyn Pereira Capuno  

#ExploreQuezonProvince ♥",240054519398747_1334553413282180,itsmorefuninthePhilippines,"In search for a little peace and quiet? Find comfort in Calauag, Quezon's Pulong Pasig and its breathtaking shoal. Photo credits to Marilyn Pereira Capuno via Tara na sa Lalawigan ng Quezon!

#tpbgovph #itsmorefuninthephilippines #tourismphilippines ""Pulong Pasig""  in   Calauag Quezon. This is a long stretch of island that you can only see between 9am to 11am. White sand and clear water. 

Info/photo by:Marilyn Pereira Capuno  

#ExploreQuezonProvince ",Calauag Quezon$$Calauag$$Pulong Pasig$$Quezon
"Filipino food continues to attract food lovers around the world! Hurray to sisig dubbed as the ""Filipino soul food!""",Get to know Filipino soul food at NYC’s Maharlika: thrl.st/2iVysKV,240054519398747_1334411066629748,itsmorefuninthePhilippines,"Filipino food continues to attract food lovers around the world! Hurray to sisig dubbed as the ""Filipino soul food!"" Get to know Filipino soul food at NYCs Maharlika:  ",
