message,description,id,page_id,full_text,locations
"Wanna relax like a king?😎

Don't miss this special chance!

Gyeonghoeru Pavilion will be open to visitors to enjoy the view the royals loved!😍

Tag your friend and plan in advance as this will be a very popular event.

For more info👉http://bit.ly/2mNOFTh

*Reservations must be made in advance.",Visitors will be able to enjoy the view of Gyeongbokgung Palace to the east and Ingwangsan Mountain to the west from Korea’s largest pavilion.,340785907491_10155055476627492,koreatourism,"Wanna relax like a king?

Don't miss this special chance!

Gyeonghoeru Pavilion will be open to visitors to enjoy the view the royals loved!

Tag your friend and plan in advance as this will be a very popular event.

For more info 

*Reservations must be made in advance. Visitors will be able to enjoy the view of Gyeongbokgung Palace to the east and Ingwangsan Mountain to the west from Koreas largest pavilion.",Ingwangsan Mountain$$Koreas$$Gyeongbokgung Palace$$Gyeonghoeru Pavilion
"How is your week so far?
Tiring?😴 Exciting?😝 Fun?😆

Check out this awesome video of Seoul from National Geographic Travel.

Life at Seoul is always fantastic 🌃",Travel around South Korea's bustling capital city of Seoul in this breathtaking time-lapse from filmmaker Noe Alonzo. See more here: http://on.natgeo.com/2myncIM,340785907491_10155053226487492,koreatourism,"How is your week so far?
Tiring? Exciting? Fun?

Check out this awesome video of Seoul from National Geographic Travel.

Life at Seoul is always fantastic  Travel around South Korea's bustling capital city of Seoul in this breathtaking time-lapse from filmmaker Noe Alonzo. See more here:  ",Seoul$$South Korea
"📢Attention all #Kpop fans who will be in Korea next Tuesday, March 28, 2017!

We have limited tickets available for #SBS Mtv #THESHOW and we're giving them out! Win a chance to see your favorite K-pop stars on stage with one simple e-mail request! 😍

Don't forget to tag and share this info with your friends. Good luck! 😉

▶Event Date: Tuesday, March 28, 2017 / 20:00-21:30 (Must arrive by 19:20)
▶Application Deadline: Thursday, March 23, 2017 / 22:00 (KST)
▶How to Apply
Send an e-mail to kpop@pnjcom.kr with information below:
1. Your passport name
2. Last 4 digits of your passport number
3. Date of birth (YYMMDD)
4. E-mail address

* Limited to one ticket per person. Winners will be notified via e-mail on Friday, March 24 at 11:00 (KST).

**Winners are selected at random, NOT on first-come, first-served basis. Winner notification e-mail including details of the event will be sent out to the winners only.",,340785907491_10155052433332492,koreatourism,"Attention all #Kpop fans who will be in Korea next Tuesday, March 28, 2017!

We have limited tickets available for #SBS Mtv #THESHOW and we're giving them out! Win a chance to see your favorite K-pop stars on stage with one simple e-mail request! 

Don't forget to tag and share this info with your friends. Good luck! 

Event Date: Tuesday, March 28, 2017 / 20:00-21:30 (Must arrive by 19:20)
Application Deadline: Thursday, March 23, 2017 / 22:00 (KST)
How to Apply
Send an e-mail to   information below:
1. Your passport name
2. Last 4 digits of your passport number
3. Date of birth (YYMMDD)
4. E-mail address

* Limited to one ticket per person. Winners will be notified via e-mail on Friday, March 24 at 11:00 (KST).

**Winners are selected at random, NOT on first-come, first-served basis. Winner notification e-mail including details of the event will be sent out to the winners only. ",Korea
"Today is Chunbun(춘분, Spring Equinox), the fourth of the twenty-four solar terms. 😮

During the Goryeo(918-1392) and Joseon dynasties(1392-1910), the royal household held a worship service on Chunbun before taking out the ice from its ice chamber.

What are you doing today?😉

Photo taken at Seogwipo-si, Jeju-do.",,340785907491_10155050256897492,koreatourism,"Today is Chunbun(, Spring Equinox), the fourth of the twenty-four solar terms. 

During the Goryeo(918-1392) and Joseon dynasties(1392-1910), the royal household held a worship service on Chunbun before taking out the ice from its ice chamber.

What are you doing today?

Photo taken at Seogwipo-si, Jeju-do. ",Spring Equinox$$Chunbun
"Tired of outdoor activities?
Come on indoors! 😉

From traditional to modern, performances to visual arts, Seoul is filled with various forms of art and you can't miss it! 😍

For more info👉http://bit.ly/2mGqeqO","For fans of performance and visual arts, here is an all-in-one guide to the representative cultural art centers in Seoul! ",340785907491_10155049469557492,koreatourism,"Tired of outdoor activities?
Come on indoors! 

From traditional to modern, performances to visual arts, Seoul is filled with various forms of art and you can't miss it! 

For more info  For fans of performance and visual arts, here is an all-in-one guide to the representative cultural art centers in Seoul! ",Seoul
"Calling all the #beer lovers in the world! 🍺

2017 Great Korean Beer Festival will take place at #COEX outdoor square from April 28 (Fri) through May 7 (Sun)! 😍

Enjoy live performances along with thirst-quenching beers and delicious snacks! 🤗🍻

More info can be found on GKBF homepage👉http://bit.ly/2mGSb50
Or visit their FB page👉https://www.facebook.com/greatkoreanbeerfestival

*Don't forget to bring a valid ID to prove that you're 19 or over. 
**Minors must be supervised/accompanied by a legal guardian.",The Great Korean Beer Festival is the nation’s largest craft beer festival!,340785907491_10155032919687492,koreatourism,"Calling all the #beer lovers in the world! 

2017 Great Korean Beer Festival will take place at #COEX outdoor square from April 28 (Fri) through May 7 (Sun)! 

Enjoy live performances along with thirst-quenching beers and delicious snacks! 

More info can be found on GKBF homepage 
Or visit their FB page 

*Don't forget to bring a valid ID to prove that you're 19 or over. 
**Minors must be supervised/accompanied by a legal guardian. The Great Korean Beer Festival is the nations largest craft beer festival!",
"Having a hard time deciding where to go?😯

Here's the list of Korea's best springtime destinations!🌷🌹🌼

From one-day trips within Seoul to regional hot spots, these are places you can't miss!😉

This will be one busy season 😜

For more info👉http://bit.ly/1Mk6WTZ","To make the most of this magical time of growth and renewal, read on to learn about the best places to visit.",340785907491_10155035195327492,koreatourism,"Having a hard time deciding where to go?

Here's the list of Korea's best springtime destinations!

From one-day trips within Seoul to regional hot spots, these are places you can't miss!

This will be one busy season 

For more info  To make the most of this magical time of growth and renewal, read on to learn about the best places to visit.",Seoul$$Korea
"Planning a last minute weekend trip?
Come to #Gurye! 😄

From March 18 through 26, villages of Gurye are flocked with thousands of sansuyu (cornus fruit) flowers 🌼🌼

The heavenly sight of these flowers will linger in your mind for a lifetime. 😊

For more info👉http://bit.ly/1RvDFS7","The flower is not that fancy on its own, but when seen by the thousands, they become a sight to behold.",340785907491_10155040911442492,koreatourism,"Planning a last minute weekend trip?
Come to #Gurye! 

From March 18 through 26, villages of Gurye are flocked with thousands of sansuyu (cornus fruit) flowers 

The heavenly sight of these flowers will linger in your mind for a lifetime. 

For more info  The flower is not that fancy on its own, but when seen by the thousands, they become a sight to behold.",Gurye
"#KoreanoftheWeek

꽃 (kkot) = flower🌸🌺

Spring is here and flowers are blooming all over Korea! 😍

Tell us your favorite flower in Korean and enjoy the spring foliage!",,340785907491_10155037954807492,koreatourism,"#KoreanoftheWeek

 (kkot) = flower

Spring is here and flowers are blooming all over Korea! 

Tell us your favorite flower in Korean and enjoy the spring foliage! ",Korea
"Hungry and bored?😯

Visit ""Seocheon Camellia Octopus Festival"" this weekend!🤗

From March 18 through April 2, you can catch and eat octopus while enjoying the nice view of the camellias 😘🌺

For more info👉http://bit.ly/2mRxiEl",Enjoy the sight of blooming camellia flower trees and freshly caught ocellated octopus from the West Sea.,340785907491_10155038516697492,koreatourism,"Hungry and bored?

Visit ""Seocheon Camellia Octopus Festival"" this weekend!

From March 18 through April 2, you can catch and eat octopus while enjoying the nice view of the camellias 

For more info  Enjoy the sight of blooming camellia flower trees and freshly caught ocellated octopus from the West Sea.",West Sea
"Having a long week?🙁

Everland's annual tulip festival is here again!🌷

From Mar 16 through April 23, you can enjoy the colorful sight along with fun rides. 😚😚

For more info👉http://bit.ly/28WK0Id
*Festival period will soon be updated on the link.

Direct link to Everland's Tulip Festival (only in Korean)👉http://bit.ly/2nrxqIH

Photo courtesy of Everland",,340785907491_10155035610707492,koreatourism,"Having a long week?

Everland's annual tulip festival is here again!

From Mar 16 through April 23, you can enjoy the colorful sight along with fun rides. 

For more info 
*Festival period will soon be updated on the link.

Direct link to Everland's Tulip Festival (only in Korean) 

Photo courtesy of Everland ",Everland
