,id,message+desc,class_label,name
0,107026329336542_821453281227173,"Sneak peek on the Langkawi Skybridge that we previously shared about! :) We hope that you are as excited as we are!One of the most interesting attractions from us, langkawi SkyBridge. Still in hard work upgrading process and will be open as soon as posible",5.0,Langkawi SkyCab
1,240054519398747_742330392504488,"What is it?
The busiest place in the Philippines is underwater. It can get a bit crowded, but we like it that way. Visit Puerto Galera, Coron, Anilao, Boracay, Palawan, Dumaguete, Malapascua and Balicasag to meet our aquatic residents.

Fun Fact:
If you don’t want to get wet, visit Manila Ocean Park instead. It's a world-class marine theme park in the city.

Photo by / Headline by:
Gutsy Tuason / Rachel Teotico ",5.0,The Philippines's cover photo
2,240054519398747_575715559165973,"Believe it or not! International pop star Justin Bieber visited Tacloban, sang for the survivors and even played a game of hoops with them! Click on the link for the full article and share the good vibes.

http://www.rappler.com/entertainment/45626-justin-bieber-visit-yolanda-areasInternational pop sensation Justin Bieber arrived in Manila Tuesday, December 10, to visit the victims of Super Typhoon Yolanda",,"Justin Bieber arrives in Manila, to visit Yolanda areas"
3,340785907491_10151063113462492,"Seeking a beach getaway? Incheon's beaches and surrounding islands are just a short distance from Seoul. More details: http://bit.ly/Pq9Im6 (Image: Eurwangni Beach, Incheon) ",,Timeline Photos
4,240054519398747_719945264743001,"Tune in Thursday! Turn up those speakers and listen to the Philippine Madrigal Singers as they do an impromptu performance at the Abbey of Mont Saint Michel, France. Pinoy Pride never sounded so good. 

http://www.liftbump.com/2014/08/18229-choir-seizes-moment-tour-ancient-church-give-crowd-awe-inspiring-performance/They couldn't have picked a better setting.",,Choir Seizes the Moment During Tour of Ancient Church to Give Crowd An Awe-Inspiring Performance
5,225524117535380_945636615524123,"11 Gorgeous Restaurants In Parks Perfect For A Lazy Sunday

From Bedok Reservoir to Bishan Park, we scoured Singapore for the most beautiful restaurants we could find in parks.

Another gem by Eatbook.sg

http://eatbook.sg/restaurants-in-parks/From Bedok Reservoir to Bishan Park we scour Singapore for the most beautiful restaurants in parks. Number 5 will take you back in time!",1.0,11 Gorgeous Restaurants In Parks Perfect For A Lazy Sunday In Singapore - EatBook.sg
6,225524117535380_979121985508919,"[New] 10 Ways Honestbee Will Change Your Grocery Shopping Forever

Online grocery-shopping is a thing now! Think delivery to your doorstep in just ONE HOUR, from places like Fairprice & Jones The Grocer. You don't even have to put pants on anymore. 

http://thesmartlocal.com/read/honestbee-gamechangerForget everything you know about the arduous chore of grocery shopping. Honestbee is here to revolutionize it with personal shoppers, speedy delivery and more!",,10 Ways Honestbee Will Change Your Grocery Shopping Forever
7,67558139928_10153582266224929,"Tidung Island has almost every bit of paradise an island should have. The island is one of the hundred islands of Thousand Islands propping up from the Java Sea. It is merely some 20 kilometers north of Jakarta, making it a popular getaway for city dwellers.

The water is shallow and the current is mild, very suitable for dipping and swimming. The long stretch of sand is white and clean to walk upon or lay down in comfort. The trees offer shade for those who are prone to sunburn.

#WonderfulIndonesia #PesonaIndonesia ",3.0,Timeline Photos
8,240054519398747_427141657356698,Calling all the divers out there! Can you name your top diving spots?,,
9,340785907491_104442019679992,Less than 100 days until Expo 2012 Yeosu! Click here for the Expo's official video.U will feel the mystery of ocean in EXPO 2012 YEOSU KOREA! Official Movie 7min HD ver.,2.0,EXPO 2012 YEOSU KOREA Official Movie(Full Version)
10,240054519398747_1054042051333319,"Hit two beaches in just one trip to Palawan by visiting El Nido’s famous Twin Beach! These sandy shores are popular among both tourists and locals alike. If you’ve been here before, share your photos in the comments section below! 

Photo by Charisse Vilchez ",,Timeline Photos
11,107026329336542_598039186901918,"Sarawak cuisine is a culinary experience that will satisfy your curiosity and leave you surprisingly satiated.

Authentic dishes are a must-try when visit! ",1.0,Fabulous Food
12,340785907491_130732757044658,Ever wanted to know what it's like to work in an aquarium? The Busan Aquarium is offering a special program that lets you try on the job of aquarist for a day. Become an aquarist at Busan Aquarium,5.0,Official Site of Korea Tourism Org.: Become an aquarist at Busan Aquarium
13,240054519398747_473282986075898,"Huwag lang kayong lumangoy! We have all kinds of water sports available here! Subukan niyo ang sailing. Interested to know more about sailing on a Hobie 16? This year's Hobie Nationals occurred in Iloilo and Zambales last February. Read all about it on the link below.

http://www.getwet-asia.com/philippines/hobie-sailing-philippines-february-2013-iloilo-zambales/February 2013 is the best time to sail Hobie 16s in the PHILIPPINES HOBIE NATIONAL CHAMPIONSHIPS Iloilo and the PHILIPPINE HOBIE CHALLENGE in Zambales",2.0,Hobie Sailing Philippines February 2013 Iloilo Zambales Philippines GetWet Asia
14,225524117535380_783406475080472,"[NEW POST!] 10 Faraway Trips From Singapore Under $800 Including Flights And Hotel.

From Dubai to South Korea, this list proves that your dollar can literally go a long way. Enjoy the long weekends in 2015 in a land far away from Singapore! 

Follow TheSmartLocal.com and never miss our best posts again!

http://www.thesmartlocal.com/read/life-changing-vacationsFrom Dubai to South Korea, this list proves that your dollar can literally go a long way. Enjoy the long weekends in 2015 in a land far away from Singapore!",4.0,TheSmartLocal.com
15,225524117535380_783406475080472,"[NEW POST!] 10 Faraway Trips From Singapore Under $800 Including Flights And Hotel.

From Dubai to South Korea, this list proves that your dollar can literally go a long way. Enjoy the long weekends in 2015 in a land far away from Singapore! 

Follow TheSmartLocal.com and never miss our best posts again!

http://www.thesmartlocal.com/read/life-changing-vacationsFrom Dubai to South Korea, this list proves that your dollar can literally go a long way. Enjoy the long weekends in 2015 in a land far away from Singapore!",4.0,10 Faraway Trips From Singapore Under $800 Including Flights And Hotel
16,340785907491_140179812695899,We just got back from the F1 and are still in the Makpo area! Proper updates to follow!^^,,
17,240054519398747_673520149385513,"Where is it?
Camiguin Island, Mindanao

How to Get There:
Fly from Manila to Cagayan de Oro.

Or take a boat from Manila, Iloilo or Cebu to Cagayan de Oro.

Then take a bus to Balingoan, and then a boat to Camiguin Island.

What is it?
Camiguin is known as ""the island born of fire"" because of its seven volcanoes. It’s a less touristy site, with most visitors coming to see White Island – a sandbar with a view of Hibok-Hibok Volcano and Mt. Vulcan.

Fun Fact:
Camiguin is the second-smallest island-province in the Philippines.

Photo by / Headline by:
Joey Rico / Rachel Teotico ",,The Philippines's cover photo
18,114979501871035_1213768441992130,"Best of all, it’s in Hong Kong – embark on a stylish 360-degree journey through Hong Kong with popular actress Karena Lam. Move your device to look around!

林嘉欣 Karena Lam ",5.0,
19,240054519398747_840288509375342,"It's Day 2 of the first ever Madrid Fusion Manila, the most important Spanish gastronomy congress that brings together the most prestigious and innovative chefs from all over the world! Anyone there right now? Share your photos in the comments section below!The much-awaited culinary event Madrid Fusión Manila where top chefs from Spain and Philippines are expected to share their gastronomic know-how has kicked off on Friday at the SMX Convention Center in Pasay City.",2.0,"Top Filipino, Spanish chefs kick off first-ever Madrid Fusión Manila"
20,225524117535380_1219975914756857,"Agreed![New] 9 Times Pe g Proved It Was The Food Capital of Malaysia

With fast food restaurants built in colonial houses, curry noodles prepared by sisters since 1946, and rojak served with a dose of entertainment, it's small wonder why Pe g is THE food destination!

http://thesmartlocal.com/read/pe g-food-capital",,The Smart Local Malaysia
21,340785907491_10150333645597492,"A little 간식 (gansik / snack) before we go home! Today our intern is leaving us-Thank you for all the hard work. Everyone else, we'll see you tomorrow! 바이~!^^ ",,Timeline Photos
22,211783385560749_250660468339707,"This New Year our staff went to Kawasaki Daishi, a temple popular for 
hatsumode (the first visit to a place of worship in the new year) and 
exorcism, and obtained ""daikichi"" 大吉(excellent luck) in Japanese paper fortune called ""omikuji."" There must be good things happening this year. Wish everyone good luck this year! ",2.0,Timeline Photos
23,211783385560749_634493646623052,"Enjoy the spring season in Japan! 
In spring, not only the cherry blossoms but also many kinds of flowers will be in full bloom throughout Japan.
Ashikaga Flower Park in Tochigi pref. is famous for Japanese wisteria which will bloom from mid-April to mid-May, while the numerous baby blue eyes will be seen from the end of April to May at Hitachi Seaside Park in Ibaraki Pref..
You can get both of these parks in about one and a half hours by rail from Tokyo.
Area Information:
Tochigi: http://www.jnto.go.jp/eng/location/regional/tochigi/
Ibaraki:http://www.jnto.go.jp/eng/location/regional/ibaraki/ ",5.0,Photos from Visit Japan International's post
24,340785907491_10150302747937492,"퇴근 시간이예요! (Toegeun sigan iyeyo! / Time to leave work!)
See you tomorrow~(^_^)v ",2.0,
25,240054519398747_773974289340098,"Guess which island was named the world's most beautiful? Clue: it starts with a P and ends with a ""wan"" because it's number one! Got it already? Share this link and share the pride! 

http://www.huffingtonpost.com/2014/11/24/coron-palawan-philippines_n_6193058.htmlIt's hard to believe the Philippines are an under-appreciated tropical travel destination, especially with their extraordinary hiking, diving, beaches and of course -- islands that are THIS beautiful. And while we'd like to visit every single i...",,"Palawan, The Most Beautiful Island In The World"
26,240054519398747_487938594610337,"Feel like going on a hike? Andres Bonifacio's Execution Site in Maragondon, Cavite can be accessed with the help of local tour guides. This landmark serves as one of the sites for the Byaheng Bonifacio contest. Join and learn about the life of Andres Bonifacio! http://www.gov.ph/bonifacio-150/ 

Photo by Ivan Henares ",3.0,Timeline Photos
27,225524117535380_1212493252171790,"Noboritbetsu, Jigokudani or ""Hell Valley"" is an area refreshingly different from the scenic landscapes of Hokkaido. With a barren rocky fields with steaming vents, it's what Japanese imagine the netherworld to be like.

With various viewing points and hiking trails, you are able to get up close with the steaming vents, bubbling geysers and sulphurous stream or enjoy an unobstructed view of ""Hell Valley"". 

Find out more things to do in Hokkaido here!
http://thesmartlocal.com/read/visit-sapporo-hokkaido

Address: Japan, 059-0551 Hokkaido Prefecture, Noboribetsu

Never want to miss a post by us again?
Like TheSmartLocal.com and set Notifications to ""All On""

Director: Don LimI Model: Rachel Yohannan ",3.0,"Hauntingly Beautiful ""Hell Valley"" In Hokkaido"
28,240054519398747_665590066845188,"Award-winning web travel show PeetaPlanet discovers one of Manila's famous food markets. Read about their food finds and share with your fellow foodies!

http://peetaplanet.com/malineno-street-eats-midnight-mercato-market-and-tapsilog-centrale/So far, Manila has given us the hardest time in our hunt for the World’s Best Local Sandwiches in Season 2. It made us go through an existential sandwich crisis that took us from empanadas (too much of a pastry) to pandesal (fillings not uniquely Filipino enough) to chicken and mayo sandwiches (too…",,Manileño street eats: Midnight Mercato market and Tapsilog Centrale | Peeta Planet
29,225524117535380_799689240118862,"[NEW POST] 12 SUPER Nostalgic Restaurants In Singapore That Look Like Places Your Parents Dated At

This list of twelve restaurants are so nostalgic they look like where your parents dated. Hint: You can bring your date to these places for memorable Valentine's Day without breaking the bank.

Follow TheSmartLocal.com and never miss our best posts again!

#SG50

http://www.thesmartlocal.com/read/nostalgic-restaurantsThis list of twelve restaurants are so nostalgic they look like where your parents dated. Hint: bring your date here.",1.0,12 SUPER Nostalgic Restaurants In Singapore That Look Like Places Your Parents Dated At
30,340785907491_388255584517775,"Coming to Korea in the next few weeks? You can check the weather forecast here: Korea weather has four seasons, with a wet monsoon/summer season in the middle of the year, and a cold winter from Novembver to March. The best Korea weather to visit Korea is during the autumn months.",,Korea Weather | Official Korea Tourism Organization
31,240054519398747_822644274473099,"Calling all our Filipino friends in Singapore!
Cool off at the Gelato World Tour 2015 at the Marina Bay Sands happening this weekend, from March 20-22. The SGD $12 Tasting Card for the event allows you to sample 8 Gelato flavors, including the Philippines’ proud entry: the Mango Ube Symphony by Bono Artisinal Gelato!  

Make sure to vote for the Philippine team’s flavor, so we can make it to the finals in Italy in 2017. Bring on the support and share the great news! 

http://www.gelatoworldtour.com/event/taste-win/ ",2.0,Timeline Photos
32,240054519398747_176558515816490,"So, who among you had a weekend that was as fun and crazy as this one? Here's proof that the fun never sleeps in the Philippines. Hit the Share button if you agree!The Philippine Department of Tourism's international TVC, featuring the entertainment and lifestyle offerings of the Philippines. For more fun, visit us at: ...",,It's More Fun in the Philippines | Sleepless Nights TVC | DOT Philippines
33,211783385560749_807152322690516,"See the fantastical scenery of tunnels colored purple with wisteria flowers!
More Story; 
http://japan-magazine.jnto.go.jp/en/1502_wisteria.html ",,Photos from Visit Japan International's post
34,225524117535380_912170532204065,"17 Quaint Cafes In Serangoon You Have To Explore

There's so much more to Serangoon than Chomp Chomp. Explore the little cafes you never knew existed in this neighbourhood - you can even get a massage at #5!

http://www.thesmartlocal.com/read/serangoon-cafesThere's so much more to Serangoon than Chomp Chomp. Explore the little cafes you never knew existed in this neighbourhood - you can even get a massage at #5!",1.0,17 Quaint Cafes In Serangoon You Have To Explore
35,211783385560749_308103439262076,"Title: little sakura
Nickname: 2J 
Location: nagoya, japan
Date: April 11, 2012
Description: enjoy the beauty of sakura in your own home... ",,Sakura Photo Contest 2012 #2
36,240054519398747_1042295749174616,"Sandy beaches, enchanting river and the spectacular Chocolate Hills. You think you know all there is to know about Bohol but it still has some surprises in store. Click on the link to find out and share away!

https://vimeo.com/159170410This is ""Bohol In A Whole New Light"" by patrickmartin on Vimeo, the home for high quality videos and the people who love them.",5.0,Bohol In A Whole New Light
37,240054519398747_569408593130003,"See these touching images of how survivors in Tacloban are coping with the storm's aftermath through a simple game of basketball. 

Warriors forward Harrison Barnes best describes it through his Facebook status: ""We all play this game of basketball for different reasons but to see it as a form of healing in a time of need is the greatest reason I've seen yet."" 

More here:
http://www.grantland.com/blog/the-triangle/post/_/id/83181/philippine-basketball-after-the-storm-amazing-happens ",,Timeline Photos
38,114979501871035_936371826398461,Cycling is the main item on #HongKong’s agenda today! Hop over to the races or learn from experts at the carnival! http://bit.ly/1JRBnZB,,Photos from Discover Hong Kong's post
39,225524117535380_999777586776692,"Facebook introduced 'reactions' - rather then just liking a post, you can also love / wow / sad / angry it. Try doing so below!

Mobile users: Hold down to the like button.
Desktop users: Hover your cursor over the like button.

Also, The Oatmeal created these additional reactions hahaha. ",,Timeline Photos
40,114979501871035_1312114372157536,"Catch Black Eyed Peas, Iggy Azalea and other pop and electronic music stars at Central Harbourfront! Find out more about Dragonland Music Festival here: http://bit.ly/2lsx2dW ",2.0,Timeline Photos
