no,message,description,id,page_id,full_text,locations
0,"CONTEST CLOSED:
---------------

The next trip to Melaka, embark on a 7D interactive adventure.

Join Sinbad on as he sails through the Seven Seas to defeat the evil Shaman and his army of ghouls on The Adventure of Sinbad.

Established in 2016, Melaka Thousand Tales of Adventures provides unique entertainment for the whole family. Combining the latest interactive 7D cinema technology with themed escape challenges and break-the-code puzzles, this simulated indoor adventure traces the enchanting and perilous voyage of Sinbad and offers a family-friendly alternative during your stay in Melaka, the historic city of Malaysia.

5 lucky winners and their buddies will get to experience this 7D interactive attraction, on us!
Simply tell us why we should award you with a pair of entrance tickets. ;)
 
(Post your answers under the comment column)

Contest T&Cs:
- Closing date: 16th March 2017 (Friday) at 23.59pm
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

This contest is in collaboration with Melaka Thousand Tales of Adventures.

#malaysiatrulyasia #7dinteractive #melaka #ourfbcontest2017",,107026329336542_1347727775266385,malaysia.travel.sg,"CONTEST CLOSED:
---------------

The next trip to Melaka, embark on a 7D interactive adventure.

Join Sinbad on as he sails through the Seven Seas to defeat the evil Shaman and his army of ghouls on The Adventure of Sinbad.

Established in 2016, Melaka Thousand Tales of Adventures provides unique entertainment for the whole family. Combining the latest interactive 7D cinema technology with themed escape challenges and break-the-code puzzles, this simulated indoor adventure traces the enchanting and perilous voyage of Sinbad and offers a family-friendly alternative during your stay in Melaka, the historic city of Malaysia.

5 lucky winners and their buddies will get to experience this 7D interactive attraction, on us!
Simply tell us why we should award you with a pair of entrance tickets. ;)
 
(Post your answers under the comment column)

Contest T&Cs:
- Closing date: 16th March 2017 (Friday) at  
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

This contest is in collaboration with Melaka Thousand Tales of Adventures.

#malaysiatrulyasia #7dinteractive #melaka #ourfbcontest2017 ",Melaka$$Malaysia$$Singapore
1,Did we mentioned that the monsoon season is over? Now is the best time to go. :),Better than Maldives! Like & share.,107026329336542_1346751802030649,malaysia.travel.sg,Did we mentioned that the monsoon season is over? Now is the best time to go. :) Better than Maldives! Like & share.,Maldives
2,"CONTEST CLOSED
-----------------------------

One lucky winner will get to enjoy a night's stay at The Light Hotel, on us!

Simply tell us:
1. what is the name of the second bridge in Penang?
AND...
2. When was the opening ceremony held?

(Post your answers under the comment column)

Contest T&Cs:
- Closing date: 2nd March 2017 (Thursday) at 23.59pm
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #malaysiatrulyasia",,107026329336542_1332477916791371,malaysia.travel.sg,"CONTEST CLOSED
-----------------------------

One lucky winner will get to enjoy a night's stay at The Light Hotel, on us!

Simply tell us:
1. what is the name of the second bridge in Penang?
AND...
2. When was the opening ceremony held?

(Post your answers under the comment column)

Contest T&Cs:
- Closing date: 2nd March 2017 (Thursday) at  
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #malaysiatrulyasia ",Singapore$$Penang$$Malaysia
3,"CONTEST CLOSED!
------------------------------

Two lucky winners will get to enjoy 2 nights stay at StarCity Hotel, Alor Star on us!

Simply name the only museum in Malaysia that showcases numerous artifacts from the oldest historical site in Southeast Asia. 
(Post your answer under the comment column)

Contest T&Cs:
- Closing date: 21st February 2017 (Tuesday) at 23.59pm
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #malaysiatrulyasia",,107026329336542_1321776537861509,malaysia.travel.sg,"CONTEST CLOSED!
------------------------------

Two lucky winners will get to enjoy 2 nights stay at StarCity Hotel, Alor Star on us!

Simply name the only museum in Malaysia that showcases numerous artifacts from the oldest historical site in Southeast Asia. 
(Post your answer under the comment column)

Contest T&Cs:
- Closing date: 21st February 2017 (Tuesday) at  
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #malaysiatrulyasia ",Singapore$$Southeast Asia$$Malaysia
4,"Have you been to the beautiful island of Langkawi?
Enjoy Singapore actress, Nadiah M.Din wedding photo shoot video.

Courtesy of Tropical Charters Langkawi, Meritus Pelangi Beach Resort & Spa, Langkawi, Langkawi Development Authority and Tourism Malaysia",,107026329336542_1312178285488001,malaysia.travel.sg,"Have you been to the beautiful island of Langkawi?
Enjoy Singapore actress, Nadiah   photo shoot video.

Courtesy of Tropical Charters Langkawi, Meritus Pelangi Beach Resort & Spa, Langkawi, Langkawi Development Authority and Tourism Malaysia ",Langkawi$$Malaysia
5,"Get your eBrochures today just by following 2 simple steps 👇🏼

Step 1) go to ebrochures.malaysia.travel

Step 2) Click on View All Brochures

And that is all! You have all the information needed at your fingertips! 😉

#malaysiatrulyasia #tourismmalaysia #tmsingapore",,107026329336542_1312129265492903,malaysia.travel.sg,"Get your eBrochures today just by following 2 simple steps 

Step 1) go to  

Step 2) Click on View All Brochures

And that is all! You have all the information needed at your fingertips! 

#malaysiatrulyasia #tourismmalaysia #tmsingapore ",
6,"Thaipusam falls on 9th February 2017. It is a Hindu festival celebrated mostly by the Tamil community on the full moon in the Tamil month. A celebration of the triumph over evil and overcoming the evil teachings of greed, hatred and arrogance.

The festival signifies two important traditions:
- The birth of Lord Murugan (the youngest son of Lord Shiva and Pravati)
-  Parvati gave Lord Murugan a Vel ""spear"" so he could vanquish the evil demon

It is a public holiday in several states in Malaysia.

Happy Thaipusam to all our Hindu FBians :)",,107026329336542_1310602805645549,malaysia.travel.sg,"Thaipusam falls on 9th February 2017. It is a Hindu festival celebrated mostly by the Tamil community on the full moon in the Tamil month. A celebration of the triumph over evil and overcoming the evil teachings of greed, hatred and arrogance.

The festival signifies two important traditions:
- The birth of Lord Murugan (the youngest son of Lord Shiva and Pravati)
-  Parvati gave Lord Murugan a Vel ""spear"" so he could vanquish the evil demon

It is a public holiday in several states in Malaysia.

Happy Thaipusam to all our Hindu FBians :) ",Pravati$$Malaysia$$Thaipusam
7,"Contest CLOSED!
---------------------------

Enjoy 2 nights stay package at Lost World Hotel Sunway City Ipoh, with a buddy on us!

Simply name 3 States which are celebrating ‘VISIT YEAR 2017'. (Post under comment column)

Contest T&Cs:
- Closing date: 7th February 2017 (Tuesday) at 23.59pm
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #visityear2017 #malaysiatrulyasia",,107026329336542_1309311792441317,malaysia.travel.sg,"Contest CLOSED!
---------------------------

Enjoy 2 nights stay package at Lost World Hotel Sunway City Ipoh, with a buddy on us!

Simply name 3 States which are celebrating VISIT YEAR 2017'. (Post under comment column)

Contest T&Cs:
- Closing date: 7th February 2017 (Tuesday) at  
- Each contestant is permitted to answer only once. 
- Contest is eligible for residents residing in Singapore only.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, to amend the terms of this contest.
- Tourism Malaysia, Singapore office reserves the right, at our discretion, on the method of selecting the winner(s).

#ourfbcontest2017 #tmsingapore #visityear2017 #malaysiatrulyasia ",Lost World Hotel Sunway City Ipoh$$Singapore$$Malaysia
8,"A contest is brewing...
Watch this space at 9am tomorrow (7th February).  :)",,107026329336542_1308585522513944,malaysia.travel.sg,"A contest is brewing...
Watch this space at 9am tomorrow (7th February).  :) ",
9,"What will you be doing this weekend?
How about a train ride to explore Kluang? Enjoy a simple yet delicious breakfast at the ever popular Kluang RailCoffee.

#throwback #kluang #malaysiatrulyasia #johor #tmsingapore","One of the few places left where you can find a packet of Nasi Lemak wrapped in newspaper at less than SGD 30 cents (after conversion).
Creamy half-boiled 'kampung chicken' egg and many more, in an original old school kopitiam setting.

To get there, experience a KTM train ride from Woodlands to Kluang and enjoy a morning that's different.



Photo credit: Ms Noraini Omar",107026329336542_1304110879628075,malaysia.travel.sg,"What will you be doing this weekend?
How about a train ride to explore Kluang? Enjoy a simple yet delicious breakfast at the ever popular Kluang RailCoffee.

#throwback #kluang #malaysiatrulyasia #johor #tmsingapore One of the few places left where you can find a packet of Nasi Lemak wrapped in newspaper at less than SGD 30 cents (after conversion).
Creamy half-boiled 'kampung chicken' egg and many more, in an original old school kopitiam setting.

To get there, experience a KTM train ride from Woodlands to Kluang and enjoy a morning that's different.



Photo credit: Ms Noraini Omar",Kluang
