no,id,message+desc,comments,count_food,count_events,count_nature,count_accommodation,count_attraction,count_others,class_label
12808,211783385560749_681938481878568,"The Summer Music Season has come !　
SUMMER SONIC and FUJI ROCK FESTIVAL are the two biggest music festivals in Japan. Let's experience one of those summer lively music festivals where world famous musicians come and perform.
*More story>
http://www.jnto.go.jp/eng/indepth/exotic/JapanesQue/1407/rock.html ",SCANDAL will be there right??? T-T$$Brian Leahy-Queen would be cool!,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12809,240054519398747_10152272645902319,"What's in store for Philippine Tourism in the coming years? Click on the link to read about Tourism Secretary Mon Jimenez's upcoming plans! Indeed, the future looks bright..and fun!

http://www.mb.com.ph/ph-tourism-stronger-after-yolanda/ ",Make first the country save. Than more tourist wil com.bicos the phillipines are beautiful.to see.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12810,340785907491_10153804972362492,"It's currently about -14°C in #Seoul right now. For those who are on your #VisitKorea trip, hang in there! The #coldwave will (hopefully) be over soon! From the #weather forecast, it seemed like this week will be much warmer! *Yay* :3

For more weather info ☞ bit.ly/KTO_Weather ","Weather forecast of winter is very freezing  , KTO stay this week warmer , I love it, the photography is unique and wonderful  with snow,  Excellent week ! Give the best and take care yourself ! Fantastic day ! Monday ... :) (y)$$Will be here at the end of March. Got 2 months to warm up.$$Wish I was there, love the cold!$$Wow it's so pretty.  I wish I could go to Seoul$$Freezing cold out there! Stay warm Korean friends! 😘$$I hope so. Stay warm guys... ^_^$$there was the eastern terminal. ❄$$We'll arrive in a week's time from sunny South Africa. With my 3 year old daughter in tow... I hope the weather improves. Brrr$$Beautiful  picture. We can do with some  of that cold right now. Warm wishes from sunny South Africa.$$Nice pic! Wow despite the cold weather, I want to visit Korea again soon..$$Keep warm friends in Korea. How I wish I can visit there in winter :) <3$$It is a beautiful in Korea all this snow it is beautiful everybody stay warm.$$-14 degree so cold ⛄️☁️❄️❄️❄️❄️ Ramzi Ben$$and yet some people will still keep wearing ""cute"" coats that don't keep them warm lol$$i will come next week. Hope the weather not so cool....",0.0,0.0,0.0,0.0,0.0,1.0,0.0
12811,340785907491_10151993365237492,"This time of year allows for some of the best skies one will see in Busan.

Photo and caption by Keith Homan
Homank Photography ""Memories are Captured""

Find out more about Busan's Nurimaru APEC House: http://bit.ly/nurimaru

Also visit these in Busan:
Busan Christmas Tree Festival: http://bit.ly/1eFPLqD
Newly Restored Yeongdodaegyo Bridge: http://bit.ly/1b9TqfB
Busan Hanbok Experience Hall: http://bit.ly/IEeRfA ",i swore i never seen a wonderful picture like this befor,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12812,433618953473105_574290806072585,"Padar Island, Komodo National Park. ","Should we go here next time, just for Izzy? Marc, Budi😁$$been there years ago tour guide had a small stick I thought thats not going to scare them away.$$Rodrigo Domit your next hiking destination!! 😁$$Wow beautiful. This is on my list is places to visit this year 👍$$I want to go here is it expensive to get too Wonderful Indonesia$$This place what you want Asami Ozaki$$Visited Komodo Island saw the dragons. Wow$$Someday i'll be here....😄😄😄$$We can bring you there if you want 😊",0.0,0.0,0.0,0.0,0.0,1.0,0.0
12813,211783385560749_355886591150427,"Ashi-yu Experience in Kyoto!

One of our staffs went to Kyoto last weekend!
She went all the way from west to east in a day, and on the way to the east side, she found a hotspring for foot called ""Ashi-yu"" at a train station!
This is actually IN a station so you can refresh while waiting for the next train! Has anyone been here??

At Arashiyama station of Randen(Keifuku Electric Railroad), all you have to do is to get a ticket and towel for 150yen at the ticket counter and just relax :) ","Missed that when I was there.  Kyoto was beautiful, though.$$This is brilliant! I'd definitely take advantage of that.$$One of my favourite places in Kyoto, great for sore feet!$$this is so cool. when i get a chance to go to Japan, i'll have to try this!$$Kyoto is one of the best places in the world!!!$$That's awesome! My Mom loved Kyoto - she said it was her favourite place in Japan.$$no i havent been there but similar$$i havent been here but in Isawa onsen  just a few meters from the train station you can also refresh while waiting for the train  it is 20 meters infront of the train station  I have been there when i visit  Matsunosuke toshio sakai by train from there 10 minutes walk to his house en main sale ponds when are you going to visit him ???$$Was in Arashiyama in the winter of feb'12, took the Randen train but missed the experience. I'm missing Kyoto already, especially quaint and tranquil Arashiyama :)",0.0,0.0,0.0,0.0,0.0,1.0,0.0
12814,67558139928_10152720143119929,Cemara Indah Beach: The Panoramic Coast of Aceh Singkil http://indonesia.travel/en/destination/1045/cemara-indah-beach #WonderfulIndonesia ,Aceh has a lot of treasure islands with wonderful beaches and great sceneries!  Just visited the place & Luv It!!$$Let's enjoy the beautiftful of panorama of the seashore close to the small island.$$That's wonderful and nice beach in west indonesia aceh province singkil regency :),0.0,0.0,0.0,0.0,0.0,1.0,0.0
12815,67558139928_10152920795394929,Bandung now served Direct Flights from Batam and Kuala Lumpur http://indonesia.travel/en/news/detail/1516/bandung-now-served-direct-flights-from-batam-and-kuala-lumpur #News ,one world for this city. MEMORABLE,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12816,340785907491_10150200319887492,"Hello everyone! One of our friends just shared a little shopping tip! The shopping arcade at the Express Bus Terminal (고속터미널, lines 3,7,9) will be under construction starting from 6/1 so until 5/31 there will be major sales on clothing, leggings, and more! Don't make a separate trip if you're not in the area, but stop by if you're traveling that way. Look for the sign that says ""고속터미널 지하상가."" *^^* ","The terminal will remain open. The shopping area doesn't have an ""end of construction"" date yet.ㅠㅠ$$@William: LOL! True, but you can also get leggings for only 2,000-3,000! ^^$$so are the sales now? or do we have to wait?$$The sale is going on now. There isn't a huge selection though, so you should only stop by if you are going in that direction.^^$$That's the best shopping place for me in Seoul!$$No, I meant that construction will start 6/1 so merchants are having a sale before that time to get ride of their products.^^$$oh noooo... i will only be in seoul from 6/22...ㅠㅠ$$ohhh....oh oh..... i got it now. i confused myself.$$Hi KTO, where is the Express Bus Terminal? Is this the place where you can get the Seoul City Bus? $$@Su Kim: Yes, it's one of the main bus terminals, but you can also reach the area by the subway (subway lines 3,7, & 9). ^^$$Thks KTO. As long as we can still get our Seoul City Bus from there. ",0.0,0.0,0.0,1.0,0.0,0.0,0.0
12817,144113158937441_1405391592809585,"Kerala, God’s Own Country, is fast becoming one of the most sought-after wedding destinations in India. Thanks to its picturesque landscape & spectacular natural charm, #Kerala woos a considerable number of tourists from India and abroad annually. You can have a beautiful beach wedding at Varkala or Kovalam; in the sprawling tea gardens of Munnar, or in a houseboat in the serene backwaters of Alappuzha. 

Make the promise of a lifetime in any of these fabulous destinations in Kerala & cherish your memories forever! ",Karl Adam Church we should just go here n get married x,0.0,0.0,2.0,0.0,0.0,0.0,0.0
