message,description,id,page_id,full_text,locations
"At the Travel and Adventure Show, the China National Tourism Office (CNTO) showed many interested participants #BeautifulChina and the Silk Road Tourism products. All of our visitors went away with a feeling of wonder and expressed deep interest in visiting China in the near future!",,297751913699970_857455267729629,visitchinanow,"At the Travel and Adventure Show, the China National Tourism Office (CNTO) showed many interested participants #BeautifulChina and the Silk Road Tourism products. All of our visitors went away with a feeling of wonder and expressed deep interest in visiting China in the near future! ",China$$Silk Road
Throwback to the 2008 Summer Olympics that was held in Beijing. What an incredible event!,,297751913699970_849806258494530,visitchinanow,Throwback to the 2008 Summer Olympics that was held in Beijing. What an incredible event! ,Beijing
"Famous for their spicy hot pots, Chongqing is a beautiful port city along the Yangtze river.",,297751913699970_849806045161218,visitchinanow,"Famous for their spicy hot pots, Chongqing is a beautiful port city along the Yangtze river. ",Yangtze river$$Chongqing
Shaanxi is where it began for China. It was the heartland of the Qin dynasty. Shaanxi boasts lots of history with sites like the Terracotta Warriors and The Big Goose Pagoda.,,297751913699970_849802681828221,visitchinanow,Shaanxi is where it began for China. It was the heartland of the Qin dynasty. Shaanxi boasts lots of history with sites like the Terracotta Warriors and The Big Goose Pagoda. ,Shaanxi$$China
We spent this past weekend at the San Diego Travel and Adventure Show inspiring travelers to discover China!  http://www.cnto.org/,,297751913699970_849742458500910,visitchinanow,We spent this past weekend at the San Diego Travel and Adventure Show inspiring travelers to discover China!    ,China
"Fun Fact: Did you know The Great Wall of China is more than 2,300 years old?",,297751913699970_849273151881174,visitchinanow,"Fun Fact: Did you know The Great Wall of China is more than 2,300 years old? ",Great Wall of China
"Did you know the Temple of Heaven in Beijing has a tree which is over 600 years old? What UNESCO world heritage site do you want to visit this year? Photos: Maps of the World, Compass Holidays, Absolute China Tours #travel #China #UNESCO",,297751913699970_842065389268617,visitchinanow,"Did you know the Temple of Heaven in Beijing has a tree which is over 600 years old? What UNESCO world heritage site do you want to visit this year? Photos: Maps of the World, Compass Holidays, Absolute China Tours #travel #China #UNESCO ",Beijing
Huangshan mountain at sunrise is truly magical. Photo: The Dragons Father,,297751913699970_840294482779041,visitchinanow,Huangshan mountain at sunrise is truly magical. Photo: The Dragons Father ,Huangshan
Visit one of China's UNESCO world heritage sites this year. The Leshan Giant Buddha is a good start! Photo: China Discovery,,297751913699970_839210679554088,visitchinanow,Visit one of China's UNESCO world heritage sites this year. The Leshan Giant Buddha is a good start! Photo: China Discovery ,China
2017 is the year of Silk Road tourism in China! Book your trip now and discover all the great things China has to offer. #travel,,297751913699970_838706212937868,visitchinanow,2017 is the year of Silk Road tourism in China! Book your trip now and discover all the great things China has to offer. #travel ,China$$Silk Road
"Guilin, Shaanxi, Beijing, Shanghai? Pick a place you've never been to and discover China like never before!  Photo taken at: Travel and Adventure show at the Santa Clara Convention Center by Henan Tourism",,297751913699970_838045023003987,visitchinanow,"Guilin, Shaanxi, Beijing, Shanghai? Pick a place you've never been to and discover China like never before!  Photo taken at: Travel and Adventure show at the Santa Clara Convention Center by Henan Tourism ",Shanghai$$Shaanxi$$Santa Clara Convention Center$$Beijing$$China$$Guilin$$Henan
Take a journey along the silk road and travel to Xi'an where you will find The Giant Wild Goose Pagoda! Photo: Traveling the World & Absolute China Tours. #silkroad,,297751913699970_834411800033976,visitchinanow,Take a journey along the silk road and travel to Xi'an where you will find The Giant Wild Goose Pagoda! Photo: Traveling the World & Absolute China Tours. #silkroad ,Xi'an
Did you know you can go sledding alongside The Great Wall of China? #travel #sledding,"Visiting the Great Wall of China is an extraordinary experience in itself, but if you're looking to make it even more memorable, head to the Great Wall section of Mutianyu.",297751913699970_830043550470801,visitchinanow,"Did you know you can go sledding alongside The Great Wall of China? #travel #sledding Visiting the Great Wall of China is an extraordinary experience in itself, but if you're looking to make it even more memorable, head to the Great Wall section of Mutianyu.",Great Wall$$China$$Great Wall of China$$Mutianyu
2017 is the year of the Rooster and China National Tourist  would like to wish everyone a Happy and prosperous Chinese New Year! #travel,,297751913699970_827966090678547,visitchinanow,2017 is the year of the Rooster and China National Tourist  would like to wish everyone a Happy and prosperous Chinese New Year! #travel ,
"The head of a Buddha statue was recently spotted at Hongmen Reservoir in east Jiangxi province when the reservoir’s water levels were lowered by more than 30 feet (10 meters). According to archaeologists, the 12.5-foot statue was carved during the Ming Dynasty (1368-1644). 

Hongmen reservoir, built in 1958, is located on the ruins of the ancient Xiaoshi Township, which was an important trade center and hub for water transportation between Jiangxi and Fujian provinces. 

The statue was somewhat preserved in the water, which prevented weathering. Archaeologists will continue research for the protection of the reservoir's underwater relics.
#history #travel 

http://tandl.me/2jnzj9B",,297751913699970_826722074136282,visitchinanow,"The head of a Buddha statue was recently spotted at Hongmen Reservoir in east Jiangxi province when the reservoirs water levels were lowered by more than 30 feet (10 meters). According to archaeologists, the   was carved during the Ming Dynasty (1368-1644). 

Hongmen reservoir, built in 1958, is located on the ruins of the ancient Xiaoshi Township, which was an important trade center and hub for water transportation between Jiangxi and Fujian provinces. 

The statue was somewhat preserved in the water, which prevented weathering. Archaeologists will continue research for the protection of the reservoir's underwater relics.
#history #travel 

  ",Jiangxi province$$Fujian$$Jiangxi$$Xiaoshi Township$$Hongmen Reservoir
Chinese New Year is coming up on January 28th! Where will you be? Photo: Beijing #visitChina,,297751913699970_823633997778423,visitchinanow,Chinese New Year is coming up on January 28th! Where will you be? Photo: Beijing #visitChina ,Beijing
"Every Terracotta Warrior has a story. Journey to Shaanxi, China to see for yourself! Photo: Ancient Origins #travel #visitChina",,297751913699970_804522916356198,visitchinanow,"Every Terracotta Warrior has a story. Journey to Shaanxi, China to see for yourself! Photo: Ancient Origins #travel #visitChina ",Shaanxi$$China
,"Qingming Riverside Landscape Garden (清明上河园), located on the shores of Longting Lake in Kaifeng City, Henan, is a grand historic cultural-themed park. 
It was modeled after the painting ""Qingming Riverside Landscape"" by Zhang Zeduan, a famous painter in Northern Song Dynasty (960-1127), of ancient China.",297751913699970_802530703222086,visitchinanow," Qingming Riverside Landscape Garden (), located on the shores of Longting Lake in Kaifeng City, Henan, is a grand historic cultural-themed park. 
It was modeled after the painting ""Qingming Riverside Landscape"" by Zhang Zeduan, a famous painter in Northern Song Dynasty (960-1127), of ancient China.",Longting Lake$$Qingming Riverside Landscape Garden$$China$$Kaifeng City$$Henan
,"Floating 5-star hotel featuring rooms with a view! 

http://buff.ly/293aQPF

#China #Travel #Cruise #YangtzeRiver #Vacation #Holidays",297751913699970_801684649973358,visitchinanow," Floating 5-star hotel featuring rooms with a view! 

 

#China #Travel #Cruise #YangtzeRiver #Vacation #Holidays",
"Condé Nast Traveler names Suzhou, China as one of the top 50 places to travel to in 2017. #travel #China

http://tandl.me/2gc7MI8",,297751913699970_801104850031338,visitchinanow,"Cond Nast Traveler names Suzhou, China as one of the top 50 places to travel to in 2017. #travel #China

  ",China$$Suzhou
Emei Mountain looks very colorful in the fall. #SichuanProvince #travel #visitChina,,297751913699970_795556467252843,visitchinanow,Emei Mountain looks very colorful in the fall. #SichuanProvince #travel #visitChina ,Emei Mountain
"Swans are seen at a wetland on the Yellow River in Pinglu county, North China's Shanxi province, Nov 22, 2016.  http://bit.ly/2giiji6 #wintertravel",,297751913699970_791517544323402,visitchinanow,"Swans are seen at a wetland on the Yellow River in Pinglu county, North China's Shanxi province, Nov 22, 2016.    #wintertravel ",North China$$Yellow River$$Shanxi province$$Pinglu county
"Fodor's shares with us some of the best street foods around the world. Rou Jia Mo is one of the world’s oldest sandwiches, dating back at least 2000 years! It's also very delicious. You can find this delicious treat in Xi’an, China. #foodies #travel 
http://bit.ly/2gh4S4u",,297751913699970_787716324703524,visitchinanow,"Fodor's shares with us some of the best street foods around the world. Rou Jia Mo is one of the worlds oldest sandwiches, dating back at least 2000 years! It's also very delicious. You can find this delicious treat in Xian, China. #foodies #travel 
  ",China$$Xian
Did you know #China has some of the most #UNESCO World Heritage Sites in the world? #traveltuesday,,297751913699970_787377038070786,visitchinanow,Did you know #China has some of the most #UNESCO World Heritage Sites in the world? #traveltuesday ,
