no,message,description,id,page_id,full_text,locations
0,"Welcome to Tokyo's focal point of old and new – Nihombashi. Take in all Japan has to offer in one incredible neighborhood: hanami, matsuri, river cruises, traditional cuisine, and fascinating cultural events staged by the area's historic shops and department stores.
Learn More: http://japan-magazine.jnto.go.jp/en/special_globalblue02.html",,211783385560749_1433823473356728,visitjapaninternational,"Welcome to Tokyo's focal point of old and new  Nihombashi. Take in all Japan has to offer in one incredible neighborhood: hanami, matsuri, river cruises, traditional cuisine, and fascinating cultural events staged by the area's historic shops and department stores.
Learn More:   ",Japan$$Tokyo$$Nihombashi
1,"When you think of spring in Japan, only one thing comes to mind – cherry blossom season. There are famous sakura sightseeing spots in every part of the country to color your journey. Why not share thoughts, images and videos with friends through SNS?
Check out our smartphone tips and follow us along the cherry blossom trail. 
Learn More：http://japan-magazine.jnto.go.jp/en/special_softbank.html",,211783385560749_1428233477249061,visitjapaninternational,"When you think of spring in Japan, only one thing comes to mind  cherry blossom season. There are famous sakura sightseeing spots in every part of the country to color your journey. Why not share thoughts, images and videos with friends through SNS?
Check out our smartphone tips and follow us along the cherry blossom trail. 
Learn More  ",Japan
2,"Do you love ramen? Do you daydream about the perfect bowl of tonkotsu?
If this sounds like you, then consider visiting Kyushu, birthplace of tonkotsu ramen!
There’s really no substitute for the flavor of genuine, Kyushu tonkotsu. One taste will completely transform your understanding of ramen itself. In our special article below, you can learn more about the various types of ramen that can be found around Kyushu and discover what it is that makes each one special. http://japan-magazine.jnto.go.jp/en/special_aeon06.html",,211783385560749_1375290175876725,visitjapaninternational,"Do you love ramen? Do you daydream about the perfect bowl of tonkotsu?
If this sounds like you, then consider visiting Kyushu, birthplace of tonkotsu ramen!
Theres really no substitute for the flavor of genuine, Kyushu tonkotsu. One taste will completely transform your understanding of ramen itself. In our special article below, you can learn more about the various types of ramen that can be found around Kyushu and discover what it is that makes each one special.   ",Kyushu
3,"The best Japan trips have a theme, and those themes keep people coming back. 
A flowered-up sojourn, a fruit picking extravaganza, or a trek across incredible snowscapes are just a few of the ideas we introduce in this month’s issue. And as always, we offer the most useful tips for your visit. 

Learn more: http://japan-magazine.jnto.go.jp/en/special_knt-ct.html",,211783385560749_1401482949924114,visitjapaninternational,"The best Japan trips have a theme, and those themes keep people coming back. 
A flowered-up sojourn, a fruit picking extravaganza, or a trek across incredible snowscapes are just a few of the ideas we introduce in this months issue. And as always, we offer the most useful tips for your visit. 

Learn more:   ",Japan
4,"Beppu City in Oita prefecture is widely regarded as the country’s onsen town and is home to some of the most popular and interesting hot springs in all of Japan. There are many charming, natural spring baths concentrated in the area. Visitors can experience unique hot springs only found in Beppu, such as the red and blue colored ""Blood Pond Hell"" and ""Sea Hell"" onsen, as well as 8 hot spring sites with hundreds of hot springs to choose from. Why not visit them in the expert company of a local guide? You’ll be an onsen pro in no time!
Learn more: http://japan-magazine.jnto.go.jp/en/special_ana005.html",,211783385560749_1386185841453825,visitjapaninternational,"Beppu City in Oita prefecture is widely regarded as the countrys onsen town and is home to some of the most popular and interesting hot springs in all of Japan. There are many charming, natural spring baths concentrated in the area. Visitors can experience unique hot springs only found in Beppu, such as the red and blue colored ""Blood Pond Hell"" and ""Sea Hell"" onsen, as well as 8 hot spring sites with hundreds of hot springs to choose from. Why not visit them in the expert company of a local guide? Youll be an onsen pro in no time!
Learn more:   ",Japan$$Beppu City$$Oita$$Beppu
5,"The Kumano Kodo ""Iseji"" Pilgrimage Route, declared by UNESCO as a World Cultural Heritage site, is the sacred pilgrimage route between Ise Grand Shrine and Kumano Sanzan. It still maintains the atmosphere and flavor of ancient times. Explore the origins of the Japanese cultural identity with all five of your senses!
Learn more: http://japan-magazine.jnto.go.jp/en/special_mie.html",,211783385560749_1386161004789642,visitjapaninternational,"The Kumano Kodo ""Iseji"" Pilgrimage Route, declared by UNESCO as a World Cultural Heritage site, is the sacred pilgrimage route between Ise Grand Shrine and Kumano Sanzan. It still maintains the atmosphere and flavor of ancient times. Explore the origins of the Japanese cultural identity with all five of your senses!
Learn more:   ",
6,"In the north of Japan is a region steeped in samurai history, and where the samurai spirit lives on today. This region is called Tohoku. There you will also discover a culture unlike anywhere else in Japan, the distinctive warmth of the locals, and regional dishes rich in variety and taste. All this and more, is waiting to be explored in the wonderful Tohoku region. #dj_tohoku",,211783385560749_1392142424191500,visitjapaninternational,"In the north of Japan is a region steeped in samurai history, and where the samurai spirit lives on today. This region is called Tohoku. There you will also discover a culture unlike anywhere else in Japan, the distinctive warmth of the locals, and regional dishes rich in variety and taste. All this and more, is waiting to be explored in the wonderful Tohoku region. #dj_tohoku ",Japan$$Tohoku
7,"Vibrant in color, juicy, and delightfully sweet! Japanese strawberries are considered by some to be the best strawberries in the world. You can try your hand at picking a few for yourself!
The main season for strawberry picking in Japan is from January through to May. The strawberries that are grown in greenhouses are easy to pick, even for small children, and hand-picked strawberries are sure to taste fresher and sweeter than the ones from the supermarket. This activity is a great source of fun for the whole family, and it comes with dessert!

Related Information:
http://www.jnto.go.jp/eng/attractions/dining/food/jfood_11.html",,211783385560749_1386158404789902,visitjapaninternational,"Vibrant in color, juicy, and delightfully sweet! Japanese strawberries are considered by some to be the best strawberries in the world. You can try your hand at picking a few for yourself!
The main season for strawberry picking in Japan is from January through to May. The strawberries that are grown in greenhouses are easy to pick, even for small children, and hand-picked strawberries are sure to taste fresher and sweeter than the ones from the supermarket. This activity is a great source of fun for the whole family, and it comes with dessert!

Related Information:
  ",Japan
8,"There are many beautiful elements of Japanese culture that are difficult to fully appreciate during a short visit. Now, there’s a hotel in Shinjuku that seeks to solve this problem. Conveniently located for sightseeing, guests at this hotel can experience the more elusive aspects of Japanese culture by trying on a traditional wedding kimono, taking part in a tea ceremony, or learning about ancient and traditional Japanese festivals! There are many occasions to have unique Japanese cultural experiences at this hotel. It’s sure to fill up fast, so book your stay today!
Learn more: http://japan-magazine.jnto.go.jp/en/special_keio-plaza05.html",,211783385560749_1386144858124590,visitjapaninternational,"There are many beautiful elements of Japanese culture that are difficult to fully appreciate during a short visit. Now, theres a hotel in Shinjuku that seeks to solve this problem. Conveniently located for sightseeing, guests at this hotel can experience the more elusive aspects of Japanese culture by trying on a traditional wedding kimono, taking part in a tea ceremony, or learning about ancient and traditional Japanese festivals! There are many occasions to have unique Japanese cultural experiences at this hotel. Its sure to fill up fast, so book your stay today!
Learn more:   ",Shinjuku
9,"Welcome to Hakone in Kanagawa prefecture, where you can experience Japan’s most beautiful view of Mount Fuji. A relatively short distance from Tokyo, it boasts wonderful food and accommodations, hot-springs, and many famous tourist spots.
Enjoy the best of what Japan has to offer in Hakone!
Learn more: http://japan-magazine.jnto.go.jp/en/1702_hakone.html",,211783385560749_1385785874827155,visitjapaninternational,"Welcome to Hakone in Kanagawa prefecture, where you can experience Japans most beautiful view of Mount Fuji. A relatively short distance from Tokyo, it boasts wonderful food and accommodations, hot-springs, and many famous tourist spots.
Enjoy the best of what Japan has to offer in Hakone!
Learn more:   ",Hakone$$Japans$$Mount Fuji$$Kanagawa$$Tokyo$$Japan
